state,year,crb_mc_enrollees
Alabama,1998,37841
Alaska,1998,0
Arizona,1998,368344
Arkansas,1998,0
California,1998,1910922
Colorado,1998,70064
Connecticut,1998,220803
Delaware,1998,62010
District of Columbia,1998,48877
Florida,1998,377848
Georgia,1998,41395
Hawaii,1998,258632
Idaho,1998,0
Illinois,1998,148150
Indiana,1998,93065
Iowa,1998,45632
Kansas,1998,14876
Kentucky,1998,156603
Louisiana,1998,0
Maine,1998,5678
Maryland,1998,306474
Massachusetts,1998,174053
Michigan,1998,560025
Minnesota,1998,225313
Mississippi,1998,5880
Missouri,1998,252097
Montana,1998,2023
Nebraska,1998,19506
Nevada,1998,12406
New Hampshire,1998,7368
New Jersey,1998,376839
New Mexico,1998,193818
New York,1998,565852
North Carolina,1998,32035
North Dakota,1998,895
Ohio,1998,292819
Oklahoma,1998,82973
Oregon,1998,426705
Pennsylvania,1998,702057
Rhode Island,1998,74446
South Carolina,1998,4958
South Dakota,1998,0
Tennessee,1998,1268769
Texas,1998,284226
Utah,1998,73607
Vermont,1998,52153
Virginia,1998,103532
Washington,1998,444336
West Virginia,1998,47315
Wisconsin,1998,193850
Wyoming,1998,0
