state,total_med_enr,managed_care_enrollment,pct_in_managed_care,hio,commercial_mco,medicaid_only_mco,pccm,pihp,pahp,pace,other
Alabama,812220,540093,0.665,0,0,0,443327,540093,0,0,0
Alaska,101702,0,0,0,0,0,0,0,0,0,0
Arizona,1223271,1096365,0.8963,0,0,1096365,0,104101,0,0,0
Arkansas,645389,511014,0.7918000000000001,0,0,0,411351,0,451863,21,0
California,6955761,3632547,0.5222,601662,2996873,7507,0,157,447661,2311,0
Colorado,467556,444819,0.9514,0,0,44247,22426,463464,0,1421,0
Connecticut,455878,342784,0.7519,0,83069,259547,168,0,0,0,0
Delaware,170562,126089,0.7393000000000001,0,0,117602,0,0,0,0,8487
District of Columbia,153779,150406,0.9781,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2426010,1600550,0.6597,0,684903,249331,455877,700431,341100,329,9392
Georgia,1385721,1274823,0.92,0,0,838344,108619,0,1274823,0,0
Hawaii,235203,228174,0.9701000000000001,0,160120,68037,0,0,0,17,0
Idaho,198000,166524,0.841,0,0,0,166524,0,130338,0,0
Illinois,2320700,1278200,0.5508,0,133200,44700,1100300,0,0,0,0
Indiana,961986,711636,0.7398,0,455565,191413,64189,0,0,0,469
Iowa,397823,329897,0.8293,0,0,0,170659,329897,0,55,0
Kansas,297290,257464,0.866,0,0,141000,24050,243352,243352,227,0
Kentucky,768777,638083,0.83,0,0,159005,304973,0,638083,0,0
Louisiana,1006842,692048,0.6873,0,0,0,729219,0,0,119,0
Maine,280148,178353,0.6365999999999999,0,0,0,178353,0,0,0,0
Maryland,787366,620024,0.7875,0,0,589540,0,0,30346,138,0
Massachusetts,1227109,731123,0.5958,0,147546,288628,284404,304821,0,2178,0
Michigan,1629959,1447373,0.888,0,0,1088815,0,1447373,0,387,0
Minnesota,675149,426009,0.631,0,375046,50963,0,0,0,0,0
Mississippi,673630,512796,0.7612000000000001,0,0,0,0,0,512796,0,0
Missouri,895077,883423,0.987,0,0,401314,0,0,481926,183,0
Montana,84785,56434,0.6656,0,0,0,371,0,368,24,0
Nebraska,214699,179512,0.8361,0,36119,0,38623,0,0,0,179512
Nevada,213440,178711,0.8373,0,59381,46921,0,0,178711,0,0
New Hampshire,124498,96553,0.7755,0,0,0,0,0,96553,0,0
New Jersey,968598,725614,0.7491,0,268734,456880,0,0,0,31,0
New Mexico,464852,344977,0.7421,0,275942,69035,0,312498,0,376,0
New York,4422121,2926950,0.6618999999999999,0,862624,2013976,16639,24353,0,3210,6148
North Carolina,1442396,1012474,0.7019,0,0,0,998909,72734,0,50,0
North Dakota,60111,40605,0.6755,0,0,0,29339,0,2427,25,0
Ohio,1951511,1374520,0.7043,0,0,1373828,0,0,0,692,0
Oklahoma,625546,553385,0.8845999999999999,0,0,0,412473,0,553385,49,0
Oregon,474835,418096,0.8805,0,35501,303046,12207,399545,410448,555,0
Pennsylvania,1920134,1576523,0.821,0,965188,0,262583,1442729,457520,1637,0
Puerto Rico,1013486,977648,0.9645999999999999,0,959059,0,0,505302,0,0,0
Rhode Island,177981,110584,0.6213000000000001,0,46216,74027,0,0,41717,164,0
South Carolina,763225,763225,1,0,0,341782,90136,0,763367,407,0
South Dakota,107196,85476,0.7974,0,0,0,85476,0,0,0,0
Tennessee,1230750,1230750,1,0,0,1159089,0,143322,0,309,1909526
Texas,3343241,2161210,0.6464,0,210066,1218036,732219,306513,54794,889,0
Utah,238358,204793,0.8592,0,0,0,58484,273016,176036,0,0
Vermont,156503,137385,0.8778,0,0,137385,0,0,0,76,0
Virgin Islands,7728,0,0,0,0,0,0,0,0,0,0
Virginia,814820,520773,0.6391,0,312878,153794,54101,0,520773,315,0
Washington,1103291,949263,0.8604,0,581587,0,4495,949263,8386,319,0
West Virginia,325653,149694,0.4597,0,149694,0,14747,0,0,0,0
Wisconsin,1004704,606509,0.6037,0,484771,95785,0,27216,0,577,0
Wyoming,64489,0,0,0,0,0,0,0,0,0,0
