state,hio,commercial_mco,medicaid_only_mco,pccm,php,other,crb_mc_enrollees
Alabama,0,39597,0,310584,637654,0,39597
Arizona,0,22889,361273,0,24431,0,384162
Arkansas,0,0,0,194753,232122,0,0
California,365498,938125,1208314,26617,333160,2279,2146439
Colorado,240,37880,43029,50214,216357,0,80909
Connecticut,0,193432,36785,0,0,0,230217
Delaware,0,68869,0,0,0,0,68869
Dist. Of,0,73640,1859,0,0,0,75499
Florida,0,446538,0,465507,41660,0,446538
Georgia,0,0,0,613560,24522,0,0
Hawaii,0,191086,52356,0,0,0,243442
Idaho,0,0,0,31184,0,0,0
Illinois,0,98956,41505,0,18427,0,140461
Indiana,0,69194,42848,219321,0,0,112042
Iowa,0,47048,0,45570,176487,0,47048
Kansas,0,0,22402,73466,0,0,22402
Kentucky,0,0,158628,165819,0,0,158628
Louisiana,0,0,0,44741,0,0,0
Maine,0,5569,0,18151,0,0,5569
Maryland,0,238240,109697,0,0,0,347937
Massachuset,0,117715,23808,433663,627894,0,141523
Michigan,0,521790,228830,0,1130608,1124,750620
Minnesota,0,264231,3885,0,0,244,268116
Mississippi,0,10216,0,190131,0,0,10216
Missouri,0,186109,90519,0,0,0,276628
Montana,0,1965,0,39847,69738,0,1965
Nebraska,0,28052,0,24345,122006,0,28052
Nevada,0,36945,0,0,0,0,36945
New York,0,5812,0,0,0,0,5812
New Jersey,0,261804,95152,0,0,0,356956
New Mexico,0,208528,0,0,0,0,208528
New York,0,359379,235065,4768,59531,826,594444
North Carolina,0,38881,0,517511,132712,0,38881
North Dakota,0,718,0,23168,0,0,718
Ohio,0,142235,102653,0,0,0,244888
Oklahoma,0,98140,0,95762,0,0,98140
Oregon,0,206651,23940,134279,698307,0,230591
Pennsylvania,0,414698,428682,154468,713145,0,843380
Puerto Rico,0,764068,0,0,0,0,764068
Rhode Island,0,85900,0,0,0,0,85900
South Carolina,0,0,7454,0,0,15695,7454
South Dakota,0,0,0,50220,0,0,0
Tennessee,0,1312969,0,0,1312969,0,1312969
Texas,0,107932,107929,136201,0,0,215861
Utah,0,73921,0,0,118601,0,73921
Vermont,0,65692,0,0,0,0,65692
Virginia,0,150067,0,142147,0,0,150067
Washington,0,323079,93221,3805,1413447,0,416300
West Virginia,0,46878,0,64654,0,0,46878
Wisconsin,0,182669,4215,0,635,24,186884
