state,year,crb_mc_enrollees
Alabama,1995,0
Alaska,1995,0
Arizona,1995,0
Arkansas,1995,0
California,1995,489304
Colorado,1995,23913
Connecticut,1995,0
Delaware,1995,0
District of Columbia,1995,19336
Florida,1995,432754
Georgia,1995,0
Hawaii,1995,153879
Idaho,1995,0
Illinois,1995,142268
Indiana,1995,35000
Iowa,1995,25150
Kansas,1995,0
Kentucky,1995,0
Louisiana,1995,0
Maine,1995,0
Maryland,1995,96761
Massachusetts,1995,73930
Michigan,1995,265300
Minnesota,1995,137183
Mississippi,1995,0
Missouri,1995,24016
Montana,1995,0
Nebraska,1995,0
Nevada,1995,0
New Hampshire,1995,10985
New Jersey,1995,93893
New Mexico,1995,0
New York,1995,496915
North Carolina,1995,5219
North Dakota,1995,0
Ohio,1995,211680
Oklahoma,1995,0
Oregon,1995,280680
Pennsylvania,1995,395042
Rhode Island,1995,60479
South Carolina,1995,0
South Dakota,1995,0
Tennessee,1995,803265
Texas,1995,0
Utah,1995,39664
Vermont,1995,0
Virginia,1995,48905
Washington,1995,361553
West Virginia,1995,0
Wisconsin,1995,140871
Wyoming,1995,0
