state,hio,commercial_mco,medicaid_only_mco,pccm,php,other,crb_mc_enrollees
Alabama,0,0,0,335589,350485,0,0
Alaska,0,0,0,0,0,0,0
Arizona,0,39028,488646,0,33984,0,527674
Arkansas,0,0,0,257662,232027,0,0
California,460835,2377639,0,21171,304405,2978,2377639
Colorado,0,60381,62465,52855,247181,0,122846
Connecticut,0,200309,39520,0,0,0,239829
Delaware,0,83422,0,0,0,0,83422
District of Columbia,0,0,77548,0,2125,0,77548
Florida,0,400025,125637,635197,61479,23699,525662
Georgia,0,0,0,629226,880612,0,0
Hawaii,0,90756,27289,0,120215,972,118045
Idaho,0,0,0,37913,0,0,0
Illinois,0,51715,84782,0,0,0,136497
Indiana,0,0,109490,323524,0,0,109490
Iowa,0,59056,0,49582,206751,0,59056
Kansas,0,45857,0,72352,0,0,45857
Kentucky,0,0,120249,301907,489711,0,120249
Louisiana,0,0,0,56542,0,0,0
Maine,0,0,0,96051,0,0,0
Maryland,0,0,421355,0,0,0,421355
Massachusetts,0,113398,78845,423998,430000,0,192243
Michigan,0,445181,258859,0,1023264,0,704040
Minnesota,0,321672,4577,0,0,653,326249
Mississippi,0,0,0,297916,0,0,0
Missouri,0,141004,237767,0,0,0,378771
Montana,0,0,0,46995,0,0,0
Nebraska,0,35305,0,28047,150840,0,35305
Nevada,0,47518,0,0,0,0,47518
New Hampshire,0,6200,0,0,0,0,6200
New Jersey,0,127128,331959,0,0,0,459087
New Mexico,0,212456,0,0,0,0,212456
New York,0,394899,301275,19922,7295,5318,696174
North Carolina,0,44325,0,625737,0,4071,44325
North Dakota,0,421,0,25119,0,0,421
Ohio,0,169150,108467,0,0,0,277617
Oklahoma,0,141320,21063,136889,0,0,162383
Oregon,0,78854,160832,14656,684037,0,239686
Pennsylvania,0,204160,655829,171377,737289,0,859989
Puerto Rico,0,898171,0,0,0,0,898171
Rhode Island,0,111624,0,0,0,0,111624
South Carolina,0,0,27696,0,14020,4077,27696
South Dakota,0,0,0,62909,79641,0,0
Tennessee,0,822099,604523,0,1426622,0,1426622
Texas,0,290829,136746,222155,147247,0,427575
Utah,0,69805,13170,8687,125908,0,82975
Vermont,0,0,0,78181,0,0,0
Virgin Islands,0,0,0,0,0,0,0
Virginia,0,130833,26014,134920,0,0,156847
Washington,0,323545,91160,4236,764845,0,414705
West Virginia,0,42921,0,79309,0,0,42921
Wisconsin,0,264965,1068,0,544,0,266033
Wyoming,0,0,0,0,0,0,0
Totals,460835,8845971,4616831,5250624,8520527,41768,13462802
