state,total_med_enr,managed_care_enrollment,pct_in_managed_care,hio,commercial_mco,medicaid_only_mco,pccm,pihp,pahp,pace,other
Alabama,785949,497539,0.633,0,0,0,410881,497539,0,0,0
Alaska,100720,0,0,0,0,0,0,0,0,0,97353
Arizona,977094,875492,0.8959999999999999,0,0,875492,0,87664,0,0,0
Arkansas,635065,527233,0.8301999999999999,0,0,0,519839,0,439126,0,0
California,6508528,3276440,0.5034000000000001,517537,2686811,49380,0,144,374093,1826,5192
Colorado,391227,372046,0.951,0,0,80927,39749,346064,0,980,0
Connecticut,395624,299052,0.7559,0,209554,89498,0,0,0,0,0
Delaware,144619,110601,0.7648,0,0,98837,0,0,0,0,11210
Dist. Of Columbia,137517,93182,0.6776000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2276597,1491020,0.6548999999999999,0,546410,203769,676185,192302,349100,121,67
Georgia,1321564,1290814,0.9767,0,0,579001,498188,2461,1290814,0,0
Hawaii,203345,162650,0.79989999999999994,0,110864,50101,0,1569,0,0,2129
Idaho,171795,139875,0.8142,0,0,0,139875,0,0,0,0
Illinois,1929200,140100,0.0726,0,80400,59700,0,0,0,0,0
Indiana,839101,604891,0.7209,0,0,537496,67395,0,0,0,0
Iowa,329637,285163,0.8651000000000001,0,5156,0,138373,285163,0,0,0
Kansas,283383,161600,0.5703,0,0,79234,82181,0,0,185,0
Kentucky,706903,652935,0.9237000000000001,0,0,141691,304444,0,652935,0,0
Louisiana,969193,689609,0.7115,0,0,0,689609,0,0,0,0
Maine,243487,162397,0.667,0,0,0,162397,0,0,0,0
Maryland,700431,489988,0.6995999999999999,0,0,489838,0,0,0,150,0
Massachusetts,1037978,627241,0.6043,0,120949,238188,268104,289406,0,1388,0
Michigan,1523390,1292524,0.8484999999999999,0,258774,670032,0,1292524,0,225,0
Minnesota,583564,371429,0.6365,0,344528,26901,0,0,0,0,0
Mississippi,570178,58189,0.10210000000000001,0,0,0,0,0,58189,0,0
Missouri,830262,826394,0.9953,0,99950,253265,0,0,473017,162,0
Montana,82832,55382,0.6686,0,0,0,55382,0,0,0,0
Nebraska,210235,169982,0.8085,0,31221,0,38308,0,0,0,169982
Nevada,172274,141936,0.8239,0,79981,0,0,0,141936,0,0
New Hampshire,111559,83529,0.7487,0,0,0,0,0,83529,0,0
New Jersey,858177,595626,0.6940999999999999,0,213835,381791,0,0,0,0,0
New Mexico,400835,261318,0.6518999999999999,0,186144,58025,0,261318,0,271,0
New York,4208629,2572242,0.6112,0,777335,1745273,17827,13231,6580,2545,9451
North Carolina,1299624,843441,0.649,0,7374,0,818685,63347,0,0,0
North Dakota,54063,30069,0.5562,0,0,785,29284,0,0,0,0
Ohio,1749120,698049,0.39909999999999995,0,0,697475,0,0,0,574,0
Oklahoma,556068,477677,0.8590000000000001,0,0,0,6347,0,843846,0,0
Oregon,408932,369447,0.9034,0,27136,247479,10102,335216,362937,623,357734
Pennsylvania,1816812,1568237,0.8632,0,1109313,0,296066 1190693,33127,958,0,Pennsylvania
Puerto Rico,930989,907236,0.9745,0,907236,0,0,776121,0,0,0
Rhode Island,181483,119483,0.6584,0,48077,71378,0,0,0,28,0
South Carolina,690391,139412,0.20190000000000002,0,0,79580,49942,0,9564,353,0
South Dakota,101006,99240,0.9825,0,0,0,74957,0,99240,0,0
Tennessee,1190407,1190407,1,0,390611,799796,0,1190407,0,296,1856468
Texas,2767930,1897394,0.6855,0,524947,342216,939681,307645,0,907,0
Utah,208501,181173,0.8689,0,0,0,46336,249811,151305,0,0
Vermont,133466,86347,0.647,0,0,86347,0,0,0,0,0
Virgin Islands,5262,0,0,0,0,0,0,0,0,0,0
Virginia,704739,445560,0.6322,0,267564,116837,61159,0,320338,0,0
Washington,990321,858052,0.8664000000000001,0,465874,19464,3794,858052,63320,226,0
West Virginia,296831,137457,0.4631,0,137457,0,22162,0,0,0,0
Wisconsin,863145,403306,0.4673,0,298767,103220,0,637,0,682,0
Wyoming,62660,0,0,0,0,0,0,0,0,0,0
