state,notes,total_medicaid_enrollees,comprehensive_mco_with_or_without_mltss,pccm,mltss_only,bho_pihp_andor_pahp,dental,transportation,pace,other,year,pccm_entity
TOTALS,,"79,898,701","55,559,211","2,583,532","403,798","7,717,977","8,292,589","15,206,150","48,395","66,252",2018,"2,910,656"
Alabama4,"Beneficiaries can simultaneously enroll in Alabama's two PCCM programs: Patient 1st and Health Homes. The de-dupilcated Patient 1st enrollment is 380,285.","1,019,417",--,"611,251",--,--,--,--,174,"22,844",2018,--
Alaska5,"Alaska was not able to provide total Medicaid enrollment as of July 1, 2018. This figure is from the July - September 2018 enrollment data collected through the Medicaid Budget and Expenditure System, updated December 2019, and accessed January 14, 2020. See https://data.medicaid.gov/Enrollment/2018-4Q-Medicaid-MBES-Enrollment/qjmt-6zzy.","198,417","-- ",--,--,--,--,--,--,--,2018,--
"American Samoa",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018,n/a
Arizona,,"1,849,465","1,560,593",--,--,--,--,--,--,--,2018,--
Arkansas,,"979,619","-- ","445,284","-- ","-- ","576,970","579,996",258,--,2018,"29,078"
California,,"13,140,347","10,653,598","-- ","-- ",32,"845,796","-- ","7,784",670,2018,"-- "
Colorado6," Colorado reported plan level enrollment as 0 for plans that had less than 30 beneficiaires. As a result, reported PACE program-level enrollment may be lower than actual enrollment.","1,302,808","118,408","-- ","-- ",0,"-- ","-- ","3,799",--,2018,"1,048,881"
Connecticut7,"Connecticut was not able to provide total Medicaid enrollment as of July 1, 2018. This figure is from the July - September 2018 enrollment data collected through the Medicaid Budget and Expenditure System, updated December 2019, and accessed January 14, 2020. See https://data.medicaid.gov/Enrollment/2018-4Q-Medicaid-MBES-Enrollment/qjmt-6zzy.","928,800","-- ","-- ","-- ","-- ","-- ","-- ","-- ",--,2018,"-- "
Delaware,,"236,760","199,645","-- ","-- ","-- ","-- ","208,802",242,--,2018,"-- "
"District of Columbia",,"264,984","190,116","-- ","-- ","-- ","-- ","55,805","-- ",--,2018,"-- "
Florida,,"3,885,169","3,026,316","-- ","101,524","-- ","-- ","-- ","1,679",--,2018,"-- "
Georgia8,"Georgia is unable to provide separate counts of managed care and fee-for-service beneficiaires for their NEMT program (which uses both payment models). As a result, enrollment counts presented in this table include enrollees in both managed care and FFS.","2,074,310","1,445,804","-- ","-- ","-- ","-- ","1,623,252","-- ","39,446",2018,"-- "
Guam,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018,n/a
Hawaii9," Hawaii's enrollment in comprehensive MCOs includes 4,470 beneficiaries who enrolled in an MCO plus Ohana Community Care Service for behavioral health services.","355,873","351,685","-- ","-- ","-- ","-- ","-- ","-- ",--,2018,"-- "
Idaho,,"300,252","3,799","254,791","-- ","269,240","272,979","272,979","-- ",--,2018,"-- "
Illinois,,"3,110,093","2,145,760","-- ","31,143","-- ","-- ","-- ","-- ",--,2018,"-- "
Indiana,,"1,457,544","1,126,133","-- ","-- ","-- ","-- ","-- ",292,--,2018,"-- "
Iowa,,"626,011","564,492","-- ","-- ","-- ","302,681","15,581",434,--,2018,"-- "
Kansas,,"417,140","357,683","-- ","-- ","-- ","-- ",--,542,--,2018,"-- "
Kentucky,,"1,385,239","1,259,525","-- ","-- ","-- ","-- ","1,232,903","-- ",--,2018,"-- "
Louisiana,,"1,640,075","1,384,784","-- ","-- ","118,107","1,503,192","-- ",458,--,2018,"-- "
Maine,,"270,243","-- ","141,777","-- ","-- ","-- ","234,327","-- ",--,2018,"-- "
Maryland,,"1,401,781","1,169,603","-- ","-- ","-- ","-- ","-- ",105,--,2018,"-- "
Massachusetts,,"1,865,755","746,051","119,512","-- ","528,106","-- ","-- ","4,522",--,2018,"339,350"
Michigan10,"10. Michigan has two programs that provide HCBS waiver services under capitation: MI Choice and the Specialty Prepaid Inpatient Health Plan (SPIHP). In this table, MI Choice is reported as an MLTSS program and SPIHP is reported as a BHO. In Table 6, both programs are considered in the count of LTSS users. ","4,623,834","2,377,009","-- ","11,295","2,276,353","969,152","-- ","2,545",--,2018,"-- "
Minnesota,,"1,122,672","892,137","-- ","-- ","-- ","-- ","-- ","-- ",--,2018,"-- "
Mississippi,,"683,577","441,782","-- ","-- ","-- ","-- ","-- ","-- ",--,2018,"-- "
Missouri,,"971,143","712,335","-- ","-- ","-- ","-- ","242,268","-- ",--,2018,"-- "
Montana,,"291,890","-- ","215,475","-- ","-- ","-- ","-- ","-- ",--,2018,"-- "
Nebraska,,"250,056","248,832","-- ","-- ","-- ","247,580","-- ",190,--,2018,"-- "
Nevada,,"666,561","457,782","-- ","-- ","-- ","457,782","588,111","-- ",--,2018,"-- "
"New Hampshire",,"200,850","133,829","-- ","-- ","-- ","-- ","-- ","-- ",--,2018,"-- "
"New Jersey",,"1,668,451","1,568,277","-- ","-- ","-- ","-- ","1,561,266","1,067",--,2018,"-- "
"New Mexico",,"842,138","665,250","-- ","-- ","-- ","-- ","-- ",800,--,2018,"-- "
"New York",,"6,153,799","4,547,299","-- ","211,268","-- ","-- ","-- ","5,694",--,2018,"-- "
"North Carolina",,"2,178,225","-- ","-- ","-- ","1,578,977","-- ","-- ","2,112",--,2018,"1,493,347"
"North Dakota",,"93,042","19,515","48,957","-- ","-- ","-- ","-- ",181,0,2018,"-- "
"Northern Mariana Islands",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018,n/a
Ohio,,"2,915,546","2,449,577","-- ","-- ","-- ","-- ","-- ",454,--,2018,"-- "
Oklahoma,,"880,954","-- ","648,557","-- ","-- ","-- ","648,557",466,--,2018,"-- "
