state,notes,total_medicaid_enrollees,comprehensive_mco_with_or_without_mltss,pccm,mltss_only,bho_pihp_andor_pahp,dental,transportation,pace,other,year,pccm_entity
TOTALS,--,"98,019,715","71,877,483","2,609,121","376,907","8,513,386","15,615,556","12,011,628","64,253","601,869",2022,"3,540,184"
Alabama,--,"1,287,819",--,--,--,--,--,--,179,--,2022,"1,027,935"
Alaska,"Total Medicaid Enrollment as of July 1, 2022, was taken from the July - September 2022 enrollment data collected through the Medicaid Budget and Expenditure System accessed April 18, 2024. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","254,283",--,--,--,--,--,--,--,--,2022,--
American Samoa,--,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2022,n/a
Arizona,--,"2,412,424","1,938,718",--,"64,311","63,866",--,--,--,--,2022,--
Arkansas,--,"1,763,975","63,088","922,951",--,--,"790,615","1,066,599",938,--,2022,--
California,--,"15,136,020","12,764,684",--,--,--,"960,281",--,"16,581",--,2022,--
Colorado,--,"1,608,310",--,--,--,--,--,--,"4,525",--,2022,"1,511,124"
Connecticut,"Total Medicaid Enrollment as of July 1, 2022, was taken from the July - September 2022 enrollment data collected through the Medicaid Budget and Expenditure System accessed April 18, 2024. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","1,140,225",--,--,--,--,--,--,--,--,2022,--
Delaware,--,"302,869","261,488",--,--,--,--,"268,117",270,--,2022,--
District of Columbia,--,"300,381","259,159",--,--,--,--,"29,637",--,--,2022,--
Florida,--,"5,399,695","4,200,391",--,--,--,"4,239,522","284,683","2,526","536,159",2022,--
Georgia,--,"2,734,003","2,008,026",--,--,--,--,"2,160,715",--,"62,723",2022,--
Guam,--,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2022,n/a
Hawaii,--,"450,268","450,159",--,--,--,--,--,--,--,2022,--
Idaho,--,"424,893","25,689","328,976",--,"378,435","404,124","404,124",--,--,2022,--
Illinois,--,"3,726,082","2,796,521",--,--,--,--,--,--,--,2022,--
Indiana,--,"2,070,992","1,659,261",--,--,--,--,--,454,--,2022,--
Iowa,--,"803,050","752,949",--,--,--,"760,782","11,676",612,--,2022,--
Kansas,--,"525,725","442,962",--,--,--,--,--,873,--,2022,--
Kentucky,--,"1,651,543","1,494,070",--,--,--,--,"1,494,070",--,--,2022,--
Louisiana,--,"1,985,537","1,694,042",--,--,"140,471","1,838,441",--,410,--,2022,--
Maine,--,"393,783",--,0,--,--,--,"345,429",--,--,2022,--
Maryland,--,"1,734,624","1,496,141",--,--,--,--,--,109,--,2022,--
Massachusetts,--,"2,091,955","842,924","112,733",--,"624,711",--,--,"5,080",--,2022,"449,121"
Michigan,--,"3,092,404","3,069,866",--,"11,355","2,897,223","1,159,753",--,"4,293",--,2022,--
Minnesota,--,"1,348,563","1,180,108",--,--,--,--,--,--,--,2022,--
Mississippi,--,"858,687","365,169",--,--,--,--,--,--,--,2022,--
Missouri,--,"1,278,851","1,016,503",--,--,--,--,"272,717",12,--,2022,--
Montana,--,"289,659",--,"247,719",--,--,--,--,--,--,2022,--
Nebraska,--,"374,783","373,286",--,--,--,"372,705",--,206,--,2022,--
Nevada,--,"923,168","698,726",--,--,--,"698,448","839,650",--,--,2022,--
New Hampshire,--,"256,087","236,926",--,--,--,--,--,--,--,2022,--
New Jersey,--,"2,022,155","2,018,064",--,--,--,--,"1,499,339","1,152",--,2022,--
New Mexico,--,"984,008","814,349",--,--,--,--,--,400,--,2022,--
New York,--,"7,589,766","5,633,689",--,"248,579",--,--,--,"7,095",--,2022,--
North Carolina,--,"2,804,306","1,698,648",--,--,"536,329",--,--,"2,031",--,2022,"548,225"
North Dakota,--,"133,631","36,680","67,874",--,--,--,--,185,--,2022,--
Northern Mariana Islands,--,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2022,n/a
Ohio,--,"3,425,876","2,962,334",--,--,--,--,--,651,--,2022,--
Oklahoma,--,"1,273,948",--,"824,413",--,--,--,"1,273,948",713,--,2022,--
Oregon,--,"1,393,623","1,264,162",--,--,--,--,--,"1,617",--,2022,--
Pennsylvania,--,"3,534,344","3,281,244",--,--,"3,326,273",--,"742,598","7,722",182,2022,--
Puerto Rico,--,"1,597,058","1,594,058",--,--,--,--,--,--,--,2022,--
Rhode Island,--,"357,304","300,495",--,--,--,"134,096","350,130",398,--,2022,--
South Carolina,--,"1,550,759","1,045,162",--,--,--,--,--,488,--,2022,"1,003"
South Dakota,--,"149,096",--,"104,455",--,--,--,--,,--,2022,--
Tennessee,"Tennessee did not provide a count of unduplicated enrollees in comprehensive MCO programs. Therefore, this value is listed as missing in Table 2. In the 2021 MMCDCS Tennessee reported 1,596,211 enrollees in comprehensive MCO programs.","1,817,119",****,--,--,--,--,--,286,--,2022,--
Texas,--,"5,543,480","5,294,263",--,--,--,"4,023,171",--,"1,097",--,2022,--
Utah,--,"477,832","396,559",--,--,"362,219","233,618","379,916",,--,2022,--
Vermont,--,"199,989","134,337",--,--,--,--,--,--,--,2022,--
Virgin Islands,--,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2022,n/a
Virginia,--,"1,978,005","1,792,399",--,--,--,--,--,"1,646",--,2022,--
Washington,--,"2,229,539","1,893,433",--,--,"182,980",--,--,"1,190",--,2022,"2,776"
West Virginia,--,"660,068","521,017",--,--,--,--,"588,280",--,--,2022,--
Wisconsin,--,"1,593,772","1,105,734",--,"52,662",879,--,--,514,"2,805",2022,--
Wyoming,"The ""Total Medicaid Enrollees"" column represents an unduplicated count of all beneficiaries in FFS and any type of managed care, including Medicaid-only and dually eligible individuals receiving full Medicaid benefits or Medicaid cost sharing.","83,379",--,--,--,--,--,--,--,--,2022,--
