"Title: Total Medicaid MCO Enrollment | KFF"
"Timeframe: 2014"
"Location","Comprehensive Risk-Based Managed Care Enrollees","Percent of State Medicaid Enrollment",Footnotes
"United States","41802650","N/A","1"
"Alabama","N/A","N/A"
"Alaska","N/A","N/A"
"Arizona","1317463","N/A"
"Arkansas","N/A","N/A"
"California","7811712","N/A"
"Colorado","63473","N/A"
"Connecticut","N/A","N/A"
"Delaware","195974","N/A"
"District of Columbia","172308","N/A"
"Florida","2658159","N/A"
"Georgia","1345813","N/A"
"Hawaii","316354","N/A"
"Idaho","N/A","N/A"
"Illinois","439899","N/A"
"Indiana","737122","N/A"
"Iowa","58285","N/A"
"Kansas","356271","N/A"
"Kentucky","1081673","N/A"
"Louisiana","418174","N/A"
"Maine","N/A","N/A"
"Maryland","1084437","N/A"
"Massachusetts","799768","N/A"
"Michigan","1831208","N/A"
"Minnesota","791004","N/A"
"Mississippi","155124","N/A"
"Missouri","388857","N/A"
"Montana","N/A","N/A"
"Nebraska","183497","N/A"
"Nevada","360195","N/A"
"New Hampshire","121161","N/A"
"New Jersey","1314180","N/A"
"New Mexico","579530","N/A"
"New York","4285165","N/A"
"North Carolina","N/A","N/A"
"North Dakota","11713","N/A"
"Ohio","2027590","N/A"
"Oklahoma","N/A","N/A"
"Oregon","827939","N/A"
"Pennsylvania","1668071","N/A"
"Rhode Island","217540","N/A"
"South Carolina","720327","N/A"
"South Dakota","N/A","N/A"
"Tennessee","1288629","N/A"
"Texas","3231250","N/A"
"Utah","201356","N/A"
"Vermont","N/A","N/A"
"Virginia","644720","N/A"
"Washington","1232979","N/A"
"West Virginia","203288","N/A"
"Wisconsin","660442","N/A"
"Wyoming","N/A","N/A"
"Puerto Rico","1459263","N/A"

"Notes"
"Data are as of July 1, 2021."
""
"Medicaid Enrollment in Comprehensive Managed Care represents an unduplicated count of Medicaid enrollees enrolled in a managed care plan that provides comprehensive benefits (acute, primary care, specialty, and any other). Enrollment data includes dual eligible enrollees. Errors/corrections identified in CMS enrollment reports (for prior year data) have been incorporated here."
""
"Enrollees who are enrolled in PACE programs are excluded. Additionally, enrollment in Idaho's duals plans and Vermont's public managed care model are also excluded."
""
"For more table and state specific notes, please see Table 2 in CMS' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html)."

"Sources"
"KFF analysis of the Centers for Medicare and Medicaid Services' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html), 2023."

"Definitions"
"*Comprehensive Managed Care Organizations (MCOs)*: MCOs provide all acute and primary  medical services; some also cover behavioral health and long term care. Entities that qualify as MCOs include Health Maintenance Organizations (HMOs) and Health Insuring Organizations (HIOs in  California)."
""
"*N/A*: Not applicable. The state had no contracts with comprehensive MCOs."


Footnotes
"1. United States total excludes data from Puerto Rico."
