"Title: Total Medicaid MCO Enrollment | KFF"
"Timeframe: 2006"
"Location","Comprehensive Risk-Based Managed Care Enrollees","Percent of State Medicaid Enrollment",Footnotes
"United States","18823150","N/A","1"
"Alabama","N/A","N/A"
"Alaska","N/A","N/A"
"Arizona","875492","N/A"
"Arkansas","N/A","N/A"
"California","3253728","N/A"
"Colorado","80927","N/A"
"Connecticut","299052","N/A"
"Delaware","98837","N/A"
"District of Columbia","89912","N/A"
"Florida","750179","N/A"
"Georgia","579001","N/A"
"Hawaii","160965","N/A"
"Idaho","N/A","N/A"
"Illinois","140100","N/A"
"Indiana","537496","N/A"
"Iowa","5156","N/A"
"Kansas","79234","N/A"
"Kentucky","141691","N/A"
"Louisiana","N/A","N/A"
"Maine","N/A","N/A"
"Maryland","489838","N/A"
"Massachusetts","359137","N/A"
"Michigan","928806","N/A"
"Minnesota","371429","N/A"
"Mississippi","N/A","N/A"
"Missouri","353215","N/A"
"Montana","N/A","N/A"
"Nebraska","31221","N/A"
"Nevada","79981","N/A"
"New Hampshire","N/A","N/A"
"New Jersey","595626","N/A"
"New Mexico","244169","N/A"
"New York","2522608","N/A"
"North Carolina","7374","N/A"
"North Dakota","785","N/A"
"Ohio","697475","N/A"
"Oklahoma","N/A","N/A"
"Oregon","274615","N/A"
"Pennsylvania","1109313","N/A"
"Rhode Island","119455","N/A"
"South Carolina","79580","N/A"
"South Dakota","N/A","N/A"
"Tennessee","1190407","N/A"
"Texas","867163","N/A"
"Utah","N/A","N/A"
"Vermont","N/A","N/A"
"Virginia","384401","N/A"
"Washington","485338","N/A"
"West Virginia","137457","N/A"
"Wisconsin","401987","N/A"
"Wyoming","N/A","N/A"
"Puerto Rico","907236","N/A"

"Notes"
"Data are as of July 1, 2021."
""
"Medicaid Enrollment in Comprehensive Managed Care represents an unduplicated count of Medicaid enrollees enrolled in a managed care plan that provides comprehensive benefits (acute, primary care, specialty, and any other). Enrollment data includes dual eligible enrollees. Errors/corrections identified in CMS enrollment reports (for prior year data) have been incorporated here."
""
"Enrollees who are enrolled in PACE programs are excluded. Additionally, enrollment in Idaho's duals plans and Vermont's public managed care model are also excluded."
""
"For more table and state specific notes, please see Table 2 in CMS' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html)."

"Sources"
"Medicaid Managed Care Enrollment Report, Centers for Medicare and Medicaid Services, U.S. Department of Health and Human Services. Special Data Request."

"Definitions"
"*Comprehensive Managed Care Organizations (MCOs)*: MCOs provide all acute and primary  medical services; some also cover behavioral health and long term care. Entities that qualify as MCOs include Health Maintenance Organizations (HMOs) and Health Insuring Organizations (HIOs in  California)."
""
"*N/A*: Not applicable. The state had no contracts with comprehensive MCOs."


Footnotes
"1. United States total excludes data from Puerto Rico."
