"Title: Total Medicaid MCO Enrollment | KFF"
"Timeframe: 2004"
"Location","Comprehensive Risk-Based Managed Care Enrollees","Percent of State Medicaid Enrollment",Footnotes
"United States","17165326","N/A","1"
"Alabama","N/A","N/A"
"Alaska","N/A","N/A"
"Arizona","806193","N/A"
"Arkansas","N/A","N/A"
"California","3163940","N/A"
"Colorado","56351","N/A"
"Connecticut","303404","N/A"
"Delaware","58598","N/A"
"District of Columbia","88452","N/A"
"Florida","707256","N/A"
"Georgia","N/A","N/A"
"Hawaii","148580","N/A"
"Idaho","N/A","N/A"
"Illinois","158869","N/A"
"Indiana","294014","N/A"
"Iowa","54253","N/A"
"Kansas","63997","N/A"
"Kentucky","132813","N/A"
"Louisiana","N/A","N/A"
"Maine","N/A","N/A"
"Maryland","469849","N/A"
"Massachusetts","277374","N/A"
"Michigan","888037","N/A"
"Minnesota","361561","N/A"
"Mississippi","N/A","N/A"
"Missouri","432339","N/A"
"Montana","N/A","N/A"
"Nebraska","31204","N/A"
"Nevada","89846","N/A"
"New Hampshire","N/A","N/A"
"New Jersey","541820","N/A"
"New Mexico","272783","N/A"
"New York","2295231","N/A"
"North Carolina","13153","N/A"
"North Dakota","794","N/A"
"Ohio","507337","N/A"
"Oklahoma","N/A","N/A"
"Oregon","258130","N/A"
"Pennsylvania","1130918","N/A"
"Rhode Island","124921","N/A"
"South Carolina","52944","N/A"
"South Dakota","N/A","N/A"
"Tennessee","1345131","N/A"
"Texas","792944","N/A"
"Utah","N/A","N/A"
"Vermont","N/A","N/A"
"Virginia","309311","N/A"
"Washington","475829","N/A"
"West Virginia","92993","N/A"
"Wisconsin","364157","N/A"
"Wyoming","N/A","N/A"
"Puerto Rico","842827","N/A"

"Notes"
"Data are as of July 1, 2021."
""
"Medicaid Enrollment in Comprehensive Managed Care represents an unduplicated count of Medicaid enrollees enrolled in a managed care plan that provides comprehensive benefits (acute, primary care, specialty, and any other). Enrollment data includes dual eligible enrollees. Errors/corrections identified in CMS enrollment reports (for prior year data) have been incorporated here."
""
"Enrollees who are enrolled in PACE programs are excluded. Additionally, enrollment in Idaho's duals plans and Vermont's public managed care model are also excluded."
""
"For more table and state specific notes, please see Table 2 in CMS' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html)."

"Sources"
"Medicaid Managed Care Enrollment Report, Centers for Medicare and Medicaid Services, U.S. Department of Health and Human Services. Special Data Request."

"Definitions"
"*Comprehensive Managed Care Organizations (MCOs)*: MCOs provide all acute and primary  medical services; some also cover behavioral health and long term care. Entities that qualify as MCOs include Health Maintenance Organizations (HMOs) and Health Insuring Organizations (HIOs in  California)."
""
"*N/A*: Not applicable. The state had no contracts with comprehensive MCOs."


Footnotes
"1. United States total excludes data from Puerto Rico."
