"Title: Total Medicaid MCO Enrollment | KFF"
"Timeframe: 2010"
"Location","Comprehensive Risk-Based Managed Care Enrollees","Percent of State Medicaid Enrollment",Footnotes
"United States","25597672","N/A","1"
"Alabama","N/A","N/A"
"Alaska","N/A","N/A"
"Arizona","1196192","N/A"
"Arkansas","N/A","N/A"
"California","4000132","N/A"
"Colorado","43786","N/A"
"Connecticut","378746","N/A"
"Delaware","131720","N/A"
"District of Columbia","154375","N/A"
"Florida","1090879","N/A"
"Georgia","930614","N/A"
"Hawaii","255199","N/A"
"Idaho","N/A","N/A"
"Illinois","182200","N/A"
"Indiana","699888","N/A"
"Iowa","N/A","N/A"
"Kansas","163603","N/A"
"Kentucky","166060","N/A"
"Louisiana","N/A","N/A"
"Maine","N/A","N/A"
"Maryland","674495","N/A"
"Massachusetts","461943","N/A"
"Michigan","1196687","N/A"
"Minnesota","468437","N/A"
"Mississippi","N/A","N/A"
"Missouri","376810","N/A"
"Montana","N/A","N/A"
"Nebraska","40247","N/A"
"Nevada","146100","N/A"
"New Hampshire","N/A","N/A"
"New Jersey","798298","N/A"
"New Mexico","399247","N/A"
"New York","3175833","N/A"
"North Carolina","N/A","N/A"
"North Dakota","N/A","N/A"
"Ohio","1560941","N/A"
"Oklahoma","N/A","N/A"
"Oregon","390437","N/A"
"Pennsylvania","1094568","N/A"
"Rhode Island","127382","N/A"
"South Carolina","392689","N/A"
"South Dakota","N/A","N/A"
"Tennessee","1160628","N/A"
"Texas","1670554","N/A"
"Utah","46148","N/A"
"Vermont","N/A","N/A"
"Virginia","523654","N/A"
"Washington","654159","N/A"
"West Virginia","163131","N/A"
"Wisconsin","681890","N/A"
"Wyoming","N/A","N/A"
"Puerto Rico","977186","N/A"

"Notes"
"Data are as of July 1, 2021."
""
"Medicaid Enrollment in Comprehensive Managed Care represents an unduplicated count of Medicaid enrollees enrolled in a managed care plan that provides comprehensive benefits (acute, primary care, specialty, and any other). Enrollment data includes dual eligible enrollees. Errors/corrections identified in CMS enrollment reports (for prior year data) have been incorporated here."
""
"Enrollees who are enrolled in PACE programs are excluded. Additionally, enrollment in Idaho's duals plans and Vermont's public managed care model are also excluded."
""
"For more table and state specific notes, please see Table 2 in CMS' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html)."

"Sources"
"Medicaid Managed Care Enrollment Report, Centers for Medicare and Medicaid Services, U.S. Department of Health and Human Services. Special Data Request."

"Definitions"
"*Comprehensive Managed Care Organizations (MCOs)*: MCOs provide all acute and primary  medical services; some also cover behavioral health and long term care. Entities that qualify as MCOs include Health Maintenance Organizations (HMOs) and Health Insuring Organizations (HIOs in  California)."
""
"*N/A*: Not applicable. The state had no contracts with comprehensive MCOs."


Footnotes
"1. United States total excludes data from Puerto Rico."
