"Title: Total Medicaid MCO Enrollment | KFF"
"Timeframe: 2008"
"Location","Comprehensive Risk-Based Managed Care Enrollees","Percent of State Medicaid Enrollment",Footnotes
"United States","20587438","N/A","1"
"Alabama","N/A","N/A"
"Alaska","N/A","N/A"
"Arizona","949404","N/A"
"Arkansas","N/A","N/A"
"California","3395468","N/A"
"Colorado","47391","N/A"
"Connecticut","N/A","N/A"
"Delaware","106267","N/A"
"District of Columbia","89522","N/A"
"Florida","813427","N/A"
"Georgia","723621","N/A"
"Hawaii","166948","N/A"
"Idaho","N/A","N/A"
"Illinois","164100","N/A"
"Indiana","582714","N/A"
"Iowa","4764","N/A"
"Kansas","132832","N/A"
"Kentucky","145066","N/A"
"Louisiana","N/A","N/A"
"Maine","N/A","N/A"
"Maryland","491274","N/A"
"Massachusetts","402469","N/A"
"Michigan","993832","N/A"
"Minnesota","385025","N/A"
"Mississippi","N/A","N/A"
"Missouri","345868","N/A"
"Montana","N/A","N/A"
"Nebraska","32716","N/A"
"Nevada","88871","N/A"
"New Hampshire","N/A","N/A"
"New Jersey","659586","N/A"
"New Mexico","292456","N/A"
"New York","2663935","N/A"
"North Carolina","N/A","N/A"
"North Dakota","N/A","N/A"
"Ohio","1274549","N/A"
"Oklahoma","N/A","N/A"
"Oregon","306957","N/A"
"Pennsylvania","968713","N/A"
"Rhode Island","110195","N/A"
"South Carolina","184526","N/A"
"South Dakota","N/A","N/A"
"Tennessee","1207136","N/A"
"Texas","1311046","N/A"
"Utah","N/A","N/A"
"Vermont","N/A","N/A"
"Virginia","419904","N/A"
"Washington","515545","N/A"
"West Virginia","138699","N/A"
"Wisconsin","472612","N/A"
"Wyoming","N/A","N/A"
"Puerto Rico","966282","N/A"

"Notes"
"Data are as of July 1, 2021."
""
"Medicaid Enrollment in Comprehensive Managed Care represents an unduplicated count of Medicaid enrollees enrolled in a managed care plan that provides comprehensive benefits (acute, primary care, specialty, and any other). Enrollment data includes dual eligible enrollees. Errors/corrections identified in CMS enrollment reports (for prior year data) have been incorporated here."
""
"Enrollees who are enrolled in PACE programs are excluded. Additionally, enrollment in Idaho's duals plans and Vermont's public managed care model are also excluded."
""
"For more table and state specific notes, please see Table 2 in CMS' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html)."

"Sources"
"Medicaid Managed Care Enrollment Report, Centers for Medicare and Medicaid Services, U.S. Department of Health and Human Services. Special Data Request."

"Definitions"
"*Comprehensive Managed Care Organizations (MCOs)*: MCOs provide all acute and primary  medical services; some also cover behavioral health and long term care. Entities that qualify as MCOs include Health Maintenance Organizations (HMOs) and Health Insuring Organizations (HIOs in  California)."
""
"*N/A*: Not applicable. The state had no contracts with comprehensive MCOs."


Footnotes
"1. United States total excludes data from Puerto Rico."
