Title: Total Medicaid MCO Enrollment | KFF,,,
Timeframe: 2017,,,
Location,Comprehensive Risk-Based Managed Care Enrollees,Percent of State Medicaid Enrollment,Footnotes
United States,54018624,0.685162,1
Alabama,N/A,N/A,
Alaska,N/A,N/A,
Arizona,1617558,0.843716015,
Arkansas,N/A,N/A,
California,10798374,0.798981855,
Colorado,137240,0.099362297,
Connecticut,N/A,N/A,
Delaware,207997,0.933312094,
District of Columbia,196704,0.740750225,
Florida,3181088,0.812229318,
Georgia,1247705,0.688193044,
Hawaii,360905,0.988545196,
Idaho,N/A,N/A,
Illinois,1884379,0.590239083,
Indiana,1138236,0.771443269,
Iowa,556389,0.892362643,
Kansas,398013,0.955280875,
Kentucky,1251070,0.891547307,
Louisiana,1377682,0.847263623,
Maine,N/A,N/A,
Maryland,1161213,0.875673413,
Massachusetts,847708,0.452164228,
Michigan,2411048,0.516415407,
Minnesota,846115,0.763987146,
Mississippi,487201,0.687174185,
Missouri,733120,0.745165602,
Montana,N/A,N/A,
Nebraska,246472,0.994263677,
Nevada,448513,0.685833252,
New Hampshire,133811,0.654466932,
New Jersey,1559423,0.928842782,
New Mexico,695017,0.773130211,
New York,4520640,0.740467018,
North Carolina,N/A,N/A,
North Dakota,20515,0.22155624,
Ohio,2550962,0.827318188,
Oklahoma,N/A,N/A,
Oregon,858382,0.804239021,
Pennsylvania,2259379,0.796734255,
Rhode Island,270257,0.80002901,
South Carolina,772074,0.63425017,
South Dakota,N/A,N/A,
Tennessee,1409266,0.925530224,
Texas,3691816,0.914232,
Utah,235408,0.827980135,
Vermont,N/A,N/A,
Virginia,722399,0.666573472,
Washington,1611793,0.883304927,
West Virginia,424662,0.814799323,
Wisconsin,748090,0.624568991,
Wyoming,N/A,N/A,
Puerto Rico,1401921,1,
,,,
Notes,,,
"Data are as of July 1, 2021.",,,
,,,
"Medicaid Enrollment in Comprehensive Managed Care represents an unduplicated count of Medicaid enrollees enrolled in a managed care plan that provides comprehensive benefits (acute, primary care, specialty, and any other). Enrollment data includes dual eligible enrollees. Errors/corrections identified in CMS enrollment reports (for prior year data) have been incorporated here.",,,
,,,
"Enrollees who are enrolled in PACE programs are excluded. Additionally, enrollment in Idaho's duals plans and Vermont's public managed care model are also excluded.",,,
,,,
"For more table and state specific notes, please see Table 2 in CMS' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html).",,,
,,,
Sources,,,
"KFF analysis of the Centers for Medicare and Medicaid Services' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html), 2023.",,,
,,,
Definitions,,,
*Comprehensive Managed Care Organizations (MCOs)*: MCOs provide all acute and primary  medical services; some also cover behavioral health and long term care. Entities that qualify as MCOs include Health Maintenance Organizations (HMOs) and Health Insuring Organizations (HIOs in  California).,,,
,,,
*N/A*: Not applicable. The state had no contracts with comprehensive MCOs.,,,
,,,
,,,
Footnotes,,,
1. United States total excludes data from Puerto Rico.,,,
