Title: Total Medicaid MCO Enrollment | KFF,,,
Timeframe: 2016,,,
Location,Comprehensive Risk-Based Managed Care Enrollees,Percent of State Medicaid Enrollment,Footnotes
United States,52763169,0.671569094,1
Alabama,N/A,N/A,
Alaska,N/A,N/A,
Arizona,1560972,0.844,
Arkansas,N/A,N/A,
California,10565689,0.769,
Colorado,131693,0.1,
Connecticut,N/A,N/A,
Delaware,195911,0.886,
District of Columbia,180942,0.719,
Florida,3186511,0.817,
Georgia,1218210,0.68,
Hawaii,354289,0.989,
Idaho,N/A,0.008,
Illinois,1967553,0.609,
Indiana,1078625,0.759,
Iowa,562087,0.9,
Kansas,390398,0.897,
Kentucky,1262610,0.927,
Louisiana,1263151,0.84,
Maine,N/A,N/A,
Maryland,1079985,0.815,
Massachusetts,870318,0.463,
Michigan,2218308,0.499,
Minnesota,814947,0.749,
Mississippi,499365,0.687,
Missouri,494392,0.503,
Montana,N/A,N/A,
Nebraska,191346,0.784,
Nevada,401434,0.638,
New Hampshire,136985,0.662,
New Jersey,1556150,0.927,
New Mexico,683701,0.774,
New York,4506561,0.735,
North Carolina,N/A,0.001,
North Dakota,21232,0.229,
Ohio,2413112,0.799,
Oklahoma,N/A,N/A,
Oregon,893387,0.806,
Pennsylvania,2227383,0.811,
Rhode Island,251437,0.709,
South Carolina,742134,0.601,
South Dakota,N/A,N/A,
Tennessee,1556089,0.924,
Texas,3581401,0.884,
Utah,244763,0.831,
Vermont,N/A,N/A,
Virginia,759579,0.684,
Washington,1556853,0.844,
West Virginia,390083,0.705,
Wisconsin,753583,0.626,
Wyoming,N/A,N/A,
Puerto Rico,1617501,1,
,,,
Notes,,,
"Data are as of July 1, 2021.",,,
,,,
"Medicaid Enrollment in Comprehensive Managed Care represents an unduplicated count of Medicaid enrollees enrolled in a managed care plan that provides comprehensive benefits (acute, primary care, specialty, and any other). Enrollment data includes dual eligible enrollees. Errors/corrections identified in CMS enrollment reports (for prior year data) have been incorporated here.",,,
,,,
"Enrollees who are enrolled in PACE programs are excluded. Additionally, enrollment in Idaho's duals plans and Vermont's public managed care model are also excluded.",,,
,,,
"For more table and state specific notes, please see Table 2 in CMS' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html).",,,
,,,
Sources,,,
"KFF analysis of the Centers for Medicare and Medicaid Services' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html), 2023.",,,
,,,
Definitions,,,
*Comprehensive Managed Care Organizations (MCOs)*: MCOs provide all acute and primary  medical services; some also cover behavioral health and long term care. Entities that qualify as MCOs include Health Maintenance Organizations (HMOs) and Health Insuring Organizations (HIOs in  California).,,,
,,,
*N/A*: Not applicable. The state had no contracts with comprehensive MCOs.,,,
,,,
,,,
Footnotes,,,
1. United States total excludes data from Puerto Rico.,,,
