"Title: Total Medicaid MCO Enrollment | KFF"
"Timeframe: 2011"
"Location","Comprehensive Risk-Based Managed Care Enrollees","Percent of State Medicaid Enrollment",Footnotes
"United States","27977060","N/A","1"
"Alabama","N/A","N/A"
"Alaska","N/A","N/A"
"Arizona","1198818","N/A"
"Arkansas","N/A","N/A"
"California","4523838","N/A"
"Colorado","46962","N/A"
"Connecticut","396425","N/A"
"Delaware","154904","N/A"
"District of Columbia","137424","N/A"
"Florida","1249264","N/A"
"Georgia","951408","N/A"
"Hawaii","266819","N/A"
"Idaho","N/A","N/A"
"Illinois","213417","N/A"
"Indiana","705708","N/A"
"Iowa","N/A","N/A"
"Kansas","181540","N/A"
"Kentucky","171142","N/A"
"Louisiana","N/A","N/A"
"Maine","N/A","N/A"
"Maryland","735856","N/A"
"Massachusetts","510355","N/A"
"Michigan","1211393","N/A"
"Minnesota","556665","N/A"
"Mississippi","51626","N/A"
"Missouri","406796","N/A"
"Montana","N/A","N/A"
"Nebraska","100972","N/A"
"Nevada","168851","N/A"
"New Hampshire","N/A","N/A"
"New Jersey","853645","N/A"
"New Mexico","401318","N/A"
"New York","3725644","N/A"
"North Carolina","N/A","N/A"
"North Dakota","N/A","N/A"
"Ohio","1605042","N/A"
"Oklahoma","N/A","N/A"
"Oregon","496987","N/A"
"Pennsylvania","1152069","N/A"
"Rhode Island","135049","N/A"
"South Carolina","428765","N/A"
"South Dakota","N/A","N/A"
"Tennessee","1174007","N/A"
"Texas","1872383","N/A"
"Utah","51486","N/A"
"Vermont","N/A","N/A"
"Virginia","532292","N/A"
"Washington","730592","N/A"
"West Virginia","166555","N/A"
"Wisconsin","711043","N/A"
"Wyoming","N/A","N/A"
"Puerto Rico","1040493","N/A"

"Notes"
"Data are as of July 1, 2021."
""
"Medicaid Enrollment in Comprehensive Managed Care represents an unduplicated count of Medicaid enrollees enrolled in a managed care plan that provides comprehensive benefits (acute, primary care, specialty, and any other). Enrollment data includes dual eligible enrollees. Errors/corrections identified in CMS enrollment reports (for prior year data) have been incorporated here."
""
"Enrollees who are enrolled in PACE programs are excluded. Additionally, enrollment in Idaho's duals plans and Vermont's public managed care model are also excluded."
""
"For more table and state specific notes, please see Table 2 in CMS' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html)."

"Sources"
"KFF analysis of the Centers for Medicare and Medicaid Services' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html), 2023."

"Definitions"
"*Comprehensive Managed Care Organizations (MCOs)*: MCOs provide all acute and primary  medical services; some also cover behavioral health and long term care. Entities that qualify as MCOs include Health Maintenance Organizations (HMOs) and Health Insuring Organizations (HIOs in  California)."
""
"*N/A*: Not applicable. The state had no contracts with comprehensive MCOs."


Footnotes
"1. United States total excludes data from Puerto Rico."
