"Title: Total Medicaid MCO Enrollment | KFF"
"Timeframe: 2015"
"Location","Comprehensive Risk-Based Managed Care Enrollees","Percent of State Medicaid Enrollment",Footnotes
"United States","49349715","N/A","1"
"Alabama","N/A","N/A"
"Alaska","N/A","N/A"
"Arizona","1471809","N/A"
"Arkansas","N/A","N/A"
"California","9685902","N/A"
"Colorado","66108","N/A"
"Connecticut","N/A","N/A"
"Delaware","203066","N/A"
"District of Columbia","184788","N/A"
"Florida","3005986","N/A"
"Georgia","1357900","N/A"
"Hawaii","336764","N/A"
"Idaho","N/A","N/A"
"Illinois","1589386","N/A"
"Indiana","905997","N/A"
"Iowa","59752","N/A"
"Kansas","364464","N/A"
"Kentucky","1198540","N/A"
"Louisiana","965955","N/A"
"Maine","N/A","N/A"
"Maryland","1018553","N/A"
"Massachusetts","873682","N/A"
"Michigan","2164405","N/A"
"Minnesota","782454","N/A"
"Mississippi","505038","N/A"
"Missouri","462963","N/A"
"Montana","N/A","N/A"
"Nebraska","188591","N/A"
"Nevada","390232","N/A"
"New Hampshire","161411","N/A"
"New Jersey","1541901","N/A"
"New Mexico","648295","N/A"
"New York","4647584","N/A"
"North Carolina","N/A","N/A"
"North Dakota","18788","N/A"
"Ohio","2276400","N/A"
"Oklahoma","N/A","N/A"
"Oregon","922992","N/A"
"Pennsylvania","1993748","N/A"
"Rhode Island","242511","N/A"
"South Carolina","764450","N/A"
"South Dakota","N/A","N/A"
"Tennessee","1435862","N/A"
"Texas","3531645","N/A"
"Utah","241631","N/A"
"Vermont","N/A","N/A"
"Virginia","753416","N/A"
"Washington","1420767","N/A"
"West Virginia","209958","N/A"
"Wisconsin","756021","N/A"
"Wyoming","N/A","N/A"
"Puerto Rico","1458819","N/A"

"Notes"
"Data are as of July 1, 2021."
""
"Medicaid Enrollment in Comprehensive Managed Care represents an unduplicated count of Medicaid enrollees enrolled in a managed care plan that provides comprehensive benefits (acute, primary care, specialty, and any other). Enrollment data includes dual eligible enrollees. Errors/corrections identified in CMS enrollment reports (for prior year data) have been incorporated here."
""
"Enrollees who are enrolled in PACE programs are excluded. Additionally, enrollment in Idaho's duals plans and Vermont's public managed care model are also excluded."
""
"For more table and state specific notes, please see Table 2 in CMS' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html)."

"Sources"
"KFF analysis of the Centers for Medicare and Medicaid Services' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html), 2023."

"Definitions"
"*Comprehensive Managed Care Organizations (MCOs)*: MCOs provide all acute and primary  medical services; some also cover behavioral health and long term care. Entities that qualify as MCOs include Health Maintenance Organizations (HMOs) and Health Insuring Organizations (HIOs in  California)."
""
"*N/A*: Not applicable. The state had no contracts with comprehensive MCOs."


Footnotes
"1. United States total excludes data from Puerto Rico."
