"Title: Total Medicaid MCO Enrollment | KFF"
"Timeframe: 2005"
"Location","Comprehensive Risk-Based Managed Care Enrollees","Percent of State Medicaid Enrollment",Footnotes
"United States","18039191","N/A","1"
"Alabama","N/A","N/A"
"Alaska","N/A","N/A"
"Arizona","885204","N/A"
"Arkansas","N/A","N/A"
"California","3149449","N/A"
"Colorado","61255","N/A"
"Connecticut","302427","N/A"
"Delaware","94099","N/A"
"District of Columbia","91217","N/A"
"Florida","765458","N/A"
"Georgia","N/A","N/A"
"Hawaii","158151","N/A"
"Idaho","N/A","N/A"
"Illinois","175000","N/A"
"Indiana","415315","N/A"
"Iowa","5291","N/A"
"Kansas","67819","N/A"
"Kentucky","135642","N/A"
"Louisiana","N/A","N/A"
"Maine","N/A","N/A"
"Maryland","482601","N/A"
"Massachusetts","334142","N/A"
"Michigan","904239","N/A"
"Minnesota","377912","N/A"
"Mississippi","N/A","N/A"
"Missouri","427445","N/A"
"Montana","N/A","N/A"
"Nebraska","31127","N/A"
"Nevada","81861","N/A"
"New Hampshire","N/A","N/A"
"New Jersey","553461","N/A"
"New Mexico","248990","N/A"
"New York","2524251","N/A"
"North Carolina","9083","N/A"
"North Dakota","749","N/A"
"Ohio","530164","N/A"
"Oklahoma","N/A","N/A"
"Oregon","278230","N/A"
"Pennsylvania","1237123","N/A"
"Rhode Island","125250","N/A"
"South Carolina","59391","N/A"
"South Dakota","N/A","N/A"
"Tennessee","1349591","N/A"
"Texas","856554","N/A"
"Utah","N/A","N/A"
"Vermont","N/A","N/A"
"Virginia","335414","N/A"
"Washington","495748","N/A"
"West Virginia","122753","N/A"
"Wisconsin","366785","N/A"
"Wyoming","N/A","N/A"
"Puerto Rico","848576","N/A"

"Notes"
"Data are as of July 1, 2021."
""
"Medicaid Enrollment in Comprehensive Managed Care represents an unduplicated count of Medicaid enrollees enrolled in a managed care plan that provides comprehensive benefits (acute, primary care, specialty, and any other). Enrollment data includes dual eligible enrollees. Errors/corrections identified in CMS enrollment reports (for prior year data) have been incorporated here."
""
"Enrollees who are enrolled in PACE programs are excluded. Additionally, enrollment in Idaho's duals plans and Vermont's public managed care model are also excluded."
""
"For more table and state specific notes, please see Table 2 in CMS' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html)."

"Sources"
"Medicaid Managed Care Enrollment Report, Centers for Medicare and Medicaid Services, U.S. Department of Health and Human Services. Special Data Request."

"Definitions"
"*Comprehensive Managed Care Organizations (MCOs)*: MCOs provide all acute and primary  medical services; some also cover behavioral health and long term care. Entities that qualify as MCOs include Health Maintenance Organizations (HMOs) and Health Insuring Organizations (HIOs in  California)."
""
"*N/A*: Not applicable. The state had no contracts with comprehensive MCOs."


Footnotes
"1. United States total excludes data from Puerto Rico."
