state,notes,program_name,plan_name,geographic_region,medicaidonly_enrollment,dual_enrollment,total_enrollment,year,parent_organization
Alabama2," Beneficiaries can simultaneously enroll in Alabama's Patient 1st and Health Homes plans. The de-dupilcated Patient 1st plan enrollment is 380,285.","Patient 1st (Primary Care Case Management (PCCM))","Patient 1st",Statewide,"611,251",0,"611,251",2018,"Alabama Medicaid Agency"
Alabama2,,"Health Homes (Primary Care Case Management (PCCM))","Health Homes",Statewide,"230,966",0,"230,966",2018,"Alabama Medicaid Agency"
Alabama2," Beneficiaries can simultaneously enroll in Alabama's Patient 1st and Health Homes plans. The de-dupilcated Patient 1st plan enrollment is 380,285.","Maternity Care Program (Other Prepaid Health Plan (PHP) (limited benefits))","Maternity Care Plan","Barbour, Bibb, Blount, Calhoun, Chambers, Cherokee, Chilton, Choctaw, Clay, Cleburne, Coffee, Colbert, Coosa, Cullman, Dale, Dallas, DeKalb, Etowah, Fayette, Franklin, Geneva, Greene, Hale, Henry, Houston, Jackson, Jefferson, Lamar, Lauderdale, Lawrence, Lee, Limestone, Macon, Madison, Marengo, Marion, Marshall, Mobile, Morgan, Perry, Pickens, Randolph, Russell, St. Clair, Shelby, Sumter, Talladega, Tallapoosa, Tuscaloosa, Walker, Wilcox, and Winston Counties","22,844",0,"22,844",2018,"Alabama Medicaid Agency"
Alabama2," Beneficiaries can simultaneously enroll in Alabama's Patient 1st and Health Homes plans. The de-dupilcated Patient 1st plan enrollment is 380,285.","PACE (Program of All-inclusive Care for the Elderly (PACE))","Mercy Life of Alabama","Mobile and Baldwin Counties",25,149,174,2018,PACE
Alabama2," Beneficiaries can simultaneously enroll in Alabama's Patient 1st and Health Homes plans. The de-dupilcated Patient 1st plan enrollment is 380,285.","Integrated Care Network (Primary Care Case Management Entity (PCCM Entity))","Alabama Select Network",Statewide,0,0,0,2018,"Senior Select Partners"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Healthcare Plan","Apache, Cochise, Coconino, Graham, Greenlee, La Paz, Maricopa, Mohave, Navajo, Pima, Santa Cruz, Yavapai, and Yuma Counties","469,579","46,866","516,445",2018,UnitedHealthcare
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Care1st Health Plan","Maricopa and Pima Counties","130,829","7,821","138,650",2018,WellCare
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)",DCS/CMDP,Statewide,"13,869",1,"13,870",2018,"Government Agency/Non-Profit Entity"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","DES/Division of Developmental Disabilities (MLTSS)",Statewide,"25,123","7,131","32,254",2018,"Government Agency/Non-Profit Entity"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Healthcare Plan (MLTSS)","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai Counties","1,171","7,538","8,709",2018,UnitedHealthcare
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Choice Arizona","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pima, and Pinal Counties","227,648","15,421","243,069",2018,"IASIS Healthcare LLC/Steward"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Net Access","Maricopa County","54,005","3,657","57,662",2018,"Centene Corporation"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care Plan","Maricopa and Pima Counties","339,317","20,885","360,202",2018,"Dignity Health and Carondelet Health Network"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care Plan (MLTSS)","Gila, Maricopa, Pima, and Pinal Counties","2,436","9,993","12,429",2018,"Dignity Health and Carondelet Health Network"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","University Family Care","Cochise, Gila, Graham, Greenlee, La Paz, Pima, Pinal, Santa Cruz, Yavapai, and Yuma Counties","119,538","10,815","130,353",2018,"Banner Health"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Maricopa Integrated Care","Maricopa County","13,905","7,776","21,681",2018,"Mercy Care"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Cenpatico Integrated Care","Cochise,  Graham, Greenlee, La Paz, Pima, Pinal, Santa Cruz, and Yuma Counties","8,811","4,564","13,375",2018,"Centene Corporation"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Choice Integrated Care","Apache, Coconino, Gila, Mohave, Navajo, and Yavapai Counties","3,571","2,151","5,722",2018,"Health Choice Arizona/NARBHA"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Banner University Family Care (MLTSS)","Cochise, Gila, Graham, Greenlee, La Paz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma Counties",891,"5,281","6,172",2018,"Banner Health"
Arkansas,,"Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Primary Care Case Management Entity (PCCM Entity))","Summit Community Care",Statewide,"6,433","1,038","7,471",2018,"Anthem Insurance Companies, Inc."
Arkansas,,"Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Primary Care Case Management Entity (PCCM Entity))","Arkansas Total Care",Statewide,"4,477",334,"4,811",2018,"Centene Corporation"
Arkansas,,"Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Primary Care Case Management Entity (PCCM Entity))","Empower Healthcare Solutions",Statewide,"10,943","1,027","11,970",2018,Beacon
Arkansas,,"Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Primary Care Case Management Entity (PCCM Entity))",Forevercare,Statewide,"4,462",364,"4,826",2018,"Gateway Health"
Arkansas,,"Connect Care (Primary Care Case Management (PCCM))","Multiple primary care providers",Statewide,"444,695",589,"445,284",2018,"Multiple Primary Care Provider (PCCM)"
Arkansas,,"Arkansas Dental Managed Care (Dental only (PAHP))","Delta Dental of Arkansas",Statewide,"269,858","27,377","297,235",2018,"Delta Dental"
Arkansas,,"Arkansas Dental Managed Care (Dental only (PAHP))","Managed Care of North America (MCNA) Dental",Statewide,"253,639","26,096","279,735",2018,"Managed Care of North America (MCNA), Inc."
Arkansas,,"Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)",Southeasttrans,"Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties","170,302","20,780","191,082",2018,Southeasttrans
