state,notes,program_name,plan_name,geographic_region,medicaidonly_enrollment,dual_enrollment,total_enrollment,year,parent_organization
Texas,,"STAR (Comprehensive MCO)",Aetna,"Bexar SDA, Tarrant SDA",72966,0,72966,2016,
"New Mexico",,"Centennial Care (Comprehensive MCO + MLTSS)","Molina Healthcare of New Mexico Inc",Statewide,225105,7597,232702,2016,
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Gold Coast Health Plan",Ventura,187408,21624,209032,2016,
"New York",,"Managed Long Term Care (MLTSS only (PIHP and/or PAHP))","VNA Homecare Options","48 counties.",140,2369,2509,2016,
"New York",,"Managed Long Term Care (MLTSS only (PIHP and/or PAHP))",Metroplus,"New York City",477,728,1205,2016,
Pennsylvania,,"HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Delaware County HealthChoices - Magellan Behavioral Health of Pennsylvania","Delaware County",95542,9360,104902,2016,
California,,"Senior Care Action Network (SCAN) (Comprehensive MCO + MLTSS)","SCAN Health Plan/San Bernardino","San Bernardino",0,1272,1272,2016,
Washington9,"In Washington, Health Homes provide services under contract with a comprehensive MCO. The de-duplicated comprehensive MCO enrollment is 1,535,441. Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid dually eligible beneficiaries.","Fully Integrated Managed Care (FIMC) (Comprehensive MCO)","Molina Health Care","Clark and Skamania Counties",85724,0,85724,2016,
Pennsylvania,,"HealthChoices - Physical Health (Comprehensive MCO)","United Healthcare Community Plan of Pennsylvania","Southeast, Lehigh/Capital, and Southwest",218949,2212,221161,2016,
Michigan,"Michigan is not able to provide dual-eligible enrollment for the Specialty Prepaid Inpatient Health plan.","MI Choice (MLTSS only (PIHP and/or PAHP))","Region 3B Area Agency on Aging","Barry, Berrien, Branch, Calhoun, Cass, Kalamazoo, Van Buren",41,520,561,2016,
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Central Valley Medical Services/Fresno",Fresno,93,162,255,2016,
Texas,,"Children's Medicaid Dental Services (Dental only (PAHP))",DentaQuest,Statewide,1646712,0,1646712,2016,
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Health Plan of San Mateo","San Mateo",104001,9146,113147,2016,
"New York",,"Medicaid Managed Care (Comprehensive MCO)","Hudson Health Plan","Dutchess, Orange, Rockland, Sullivan, Ulster, & Westchester counties.",0,0,0,2016,
Michigan,"Michigan is not able to provide dual-eligible enrollment for the Specialty Prepaid Inpatient Health plan.","Managed Care Plan Division (Comprehensive MCO)","HAP Midwest Health Plan Inc.","Genessee, Huron, Lapeer, St. Clair, Sanilac, Shiawassee, Tuscola",1929,25,1954,2016,
Wisconsin,,"BadgerCare Plus (Comprehensive MCO)","Security Health Plan","Counties: Adams, Ashland, Barron, Bayfield, Burnett, Chippewa, Clark, Douglas, Dunn, Eau Claire, Forest, Iron, Jackson, Juneau, Langlade, Lincoln, Marathon, Monroe, Oneida, Pepin, Portage, Price, Rusk, Sawyer, Shawano, Taylor, Trempealeau, Vilas, Washburn, Waupaca, Waushara, Wood",56425,55,56480,2016,
Massachusetts,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Mercy Life Inc.","Hampden and Hampshire County",8,147,155,2016,
Pennsylvania,,"HealthChoices - Physical Health (Comprehensive MCO)","Gateway Health Plan","Southwest, Lehigh/Capital, and Northwest",309277,3124,312401,2016,
Illinois,,"Family Health Plan/Affordable Care Act (FHP/ACA) (Comprehensive MCO + MLTSS)","IlliniCare Health Plan","Winnebago, Boone, McHenry, Lake, Cook, DuPage, Kane, Will, Kankakee, Rock Island, Mercer and Henry counties",171090,0,171090,2016,
"New York",,"Medicaid Advantage Plus (Comprehensive MCO + MLTSS)","Senior Whole Health","New York City",0,124,124,2016,
Illinois,,"Integrated Care Program (ICP) (Comprehensive MCO + MLTSS)","Cigna-HealthSpring of Illinois","Lake, Cook, DuPage, Kane, Will and Kankakee counties",5630,0,5630,2016,
Alabama2,,"Patient 1st (Primary Care Case Management (PCCM))","Patient 1st",Statewide,646851,0,646851,2016,
Utah,,"Prepaid Mental Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Central Utah Mental Health","Juab, Millard, Piute, Sanpete, Sevier, Wayne",8400,932,9332,2016,
"New York",,"PACE (Program of All-inclusive Care for the Elderly (PACE))","Centerlight (CCM)","New York City & Nassau, Rockland, Suffolk, Westchester counties.",588,2597,3185,2016,
Pennsylvania,,"PA Living Independence For the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE))","Senior LIFE Johnstown H-3925","Cambria County (partial), Somerset County (partial)",14,174,188,2016,
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Kern Health Systems",Kern,229417,5753,235170,2016,
"New York",,"Medicaid Managed Care (Comprehensive MCO)","Metroplus Health Plan","New York City",389954,0,389954,2016,
Michigan,"Michigan is not able to provide dual-eligible enrollment for the Specialty Prepaid Inpatient Health plan.","Managed Care Plan Division (Comprehensive MCO)","Priority Health Choice, Inc.","Allegan, Barry, Berrien, Branch, Calhoun, Cass, Ionia, Kalamazoo, Kent, Lake, Mason, Mecosta, Montcalm, Muskegon, Newaygo, Oceana, Osceola, Ottawa, St. Joseph, Van Buren",113687,3529,117216,2016,
Minnesota,,"Minnesota Senior Care Plus (MSC+) (Comprehensive MCO + MLTSS)",Medica,statewide,525,2980,3505,2016,
Colorado,,"Program of All-inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Total Longterm Care- InnovAge Greater Colorado PACE","Adams, Arapahoe, Broomfield, Denver and Jefferson Counties",112,1983,2095,2016,
"New York",,"Managed Long Term Care (MLTSS only (PIHP and/or PAHP))","Archcare Community Life","New York City & Putnam, Westchester counties.",221,1912,2133,2016,
"North Dakota",,"PCCM (Primary Care Case Management (PCCM))","Multiple Primary Care Providers",Statewide,48264,0,48264,2016,
