state,notes,program_name,plan_name,geographic_region,medicaidonly_enrollment,dual_enrollment,total_enrollment,year,parent_organization
Alabama,,"Alabama Coordinated Health Networks (Primary Care Case Management Entity (PCCM Entity))","Alabama Coordinated Health Networks",Statewide,"838,985",0,"838,985",2020,"Alabama Coordinated Health Networks"
Alabama,,"Integrated Care Network (Primary Care Case Management Entity (PCCM Entity))","Alabama Select Network",Statewide,"4,220","18,553","22,773",2020,"Senior Select Partners"
Alabama,,"PACE (Program of All-inclusive Care for the Elderly (PACE))","Mercy Life of Alabama","Mobile and Baldwin Counties",21,145,166,2020,"Trinity Health"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Healthcare","Gila, Maricopa, Pima, and Pinal counties","348,511","32,489","381,000",2020,"United Healthcare"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Care 1st","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai counties","163,745","13,195","176,940",2020,"WellCare/Centene Corporation"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)",DCS/CMDP,Statewide,"13,524",1,"13,525",2020,"Government Agency/Non-Profit Entity"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","DES/Division of Developmental Disabilities (MLTSS)",Statewide,"27,871","7,826","35,697",2020,"Government Agency/Non-Profit Entity"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Healthcare (MLTSS)","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai counties","1,332","8,182","9,514",2020,"United Healthcare"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Choice Arizona","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai counties","184,977","14,669","199,646",2020,"Blue Cross Blue Shield of Arizona"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Arizona Complete Health-Complete Care Plan","Cochise, Gila, Graham, Greenlee, LaPaz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma counties","191,130","17,487","208,617",2020,"Centene Corporation"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care","Gila, Maricopa and Pinal counties","319,293","19,174","338,467",2020,"Dignity Health and Carondelet Health Network"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care (MLTSS)","Gila, Maricopa, Pima, and Pinal counties","2,474","9,844","12,318",2020,"Dignity Health and Carondelet Health Network"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Magellan Complete Care","Gila, Maricopa, and Pinal counties","28,162","1,226","29,388",2020,"Magellan Health Services of Arizona"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Banner University Family Care","Cochise, Gila, Graham, Greenlee, LaPaz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma counties","222,556","18,610","241,166",2020,"Banner Health"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care RBHA (SMI)","Maricopa county","24,332","7,574","31,906",2020,"Dignity Health and Carondelet Health Network"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Arizona Complete Health- Complete Care Plan RBHA (SMI)","Cochise, Graham, Greenlee, LaPaz, Pima, Pinal, Santa Cruz, and Yuma counties","13,776","4,527","18,303",2020,"Centene Corporation"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Choice Arizona RBHA (SMI)","Apache, Coconino, Gila, Mohave, Navajo, and Yavapai counties","6,011","2,145","8,156",2020,"Blue Cross Blue Shield of Arizona"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Banner University Family Care (MLTSS)","Cochise, Gila, Graham, Greenlee, La Paz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma counties",979,"5,670","6,649",2020,"Banner Health"
Arkansas,,"Connect Care (Primary Care Case Management Entity (PCCM Entity))","Multiple Primary Care Providers",Statewide,"408,871","1,610","410,481",2020,"Multiple Primary Care Provider (PCCM)"
Arkansas,,"Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Comprehensive MCO + MLTSS)","Summit Community Care",Statewide,"11,441","2,901","14,342",2020,"Anthem Insurance Companies, Inc."
Arkansas,,"Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Comprehensive MCO + MLTSS)","Arkansas Total Care",Statewide,"9,762","1,180","10,942",2020,"Centene Corporation"
Arkansas,,"Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Comprehensive MCO + MLTSS)","Empower Healthcare Solutions",Statewide,"15,641","1,669","17,310",2020,Beacon
