state,notes,program_name,plan_name,geographic_region,medicaidonly_enrollment,dual_enrollment,total_enrollment,year,parent_organization
Alabama,,"Alabama Coordinated Health Network (ACHN) (Primary Care Case Management Entity (PCCM Entity))","Alabama Coordinated Health Network",Statewide,"928,513",0,"928,513",2021,"Blue Cross Blue Shield (dba Alahealth), Huntsville Hospital System, VIVA Health Plan"
Alabama,,"Integrated Care Network (ICN) (Primary Care Case Management Entity (PCCM Entity))","Alabama Select Network",Statewide,"4,223","18,277","22,500",2021,"Senior Select Partners"
Alabama,,"PACE (Program of All-inclusive Care for the Elderly (PACE))","Mercy Life of Alabama","Mobile and Baldwin counties",9,152,161,2021,"Trinity Health"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Healthcare","Gila, Maricopa, Pima, and Pinal counties","396,011","35,603","431,614",2021,"United Healthcare"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Care 1st","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai counties","176,446","14,131","190,577",2021,"WellCare/Centene Corporation"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)",DCS/CHP,Statewide,"13,741",0,"13,741",2021,"Government Agency/Non-Profit Entity"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Choice Arizona","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai counties","204,235","16,111","220,346",2021,"Blue Cross Blue Shield of Arizona"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Arizona Complete Health-Complete Care Plan","Cochise, Gila, Graham, Greenlee, LaPaz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma counties","227,734","19,738","247,472",2021,"Centene Corporation"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care","Gila, Maricopa, and Pinal counties","354,464","20,720","375,184",2021,"Dignity Health and Carondelet Health Network"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Molina Complete Care of Arizona","Gila, Maricopa, and Pinal counties","42,648","1,807","44,455",2021,"Molina Complete Care of Arizona"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Banner University Family Care","Cochise, Gila, Graham, Greenlee, LaPaz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma counties","251,788","20,281","272,069",2021,"Banner Health"
Arizona,,"Arizona Health Care Cost Containment System (MLTSS) (MLTSS only (PIHP and/or PAHP))","DES/Division of Developmental Disabilities (MLTSS)",Statewide,"28,888","8,016","36,904",2021,"Government Agency/Non-Profit Entity"
Arizona,,"Arizona Health Care Cost Containment System (MLTSS) (MLTSS only (PIHP and/or PAHP))","United Healthcare (MLTSS)","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai counties","1,211","7,384","8,595",2021,"United Healthcare"
Arizona,,"Arizona Health Care Cost Containment System (MLTSS) (MLTSS only (PIHP and/or PAHP))","Mercy Care (MLTSS)","Gila, Maricopa, Pima, and Pinal counties","2,334","8,792","11,126",2021,"Dignity Health and Carondelet Health Network"
Arizona,,"Arizona Health Care Cost Containment System (MLTSS) (MLTSS only (PIHP and/or PAHP))","Banner University Family Care (MLTSS)","Cochise, Gila, Graham, Greenlee, La Paz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma counties",998,"5,315","6,313",2021,"Banner Health"
Arizona,,"Arizona Health Care Cost Containment System (SMI) (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Mercy Care RBHA (SMI)","Maricopa county","26,554","7,939","34,493",2021,"Dignity Health and Carondelet Health Network"
Arizona,,"Arizona Health Care Cost Containment System (SMI) (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Arizona Complete Health- Complete Care Plan RBHA (SMI)","Cochise, Graham, Greenlee, LaPaz, Pima, Pinal, Santa Cruz, and Yuma counties","14,277","4,648","18,925",2021,"Centene Corporation"
Arizona,,"Arizona Health Care Cost Containment System (SMI) (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Health Choice Arizona RBHA (SMI)","Apache, Coconino, Gila, Mohave, Navajo, and Yavapai counties","6,247","2,229","8,476",2021,"Blue Cross Blue Shield of Arizona"
Arkansas,,"Arkansas Total Care (Comprehensive MCO + MLTSS)","Arkansas Total Care",Statewide,"12,158","1,449","13,607",2021,Centene
Arkansas,,"Summit Community Care (Comprehensive MCO + MLTSS)","Summit Community Care",Statewide,"13,538","2,929","16,467",2021,Anthem
Arkansas,,"Empower Healthcare Solutions (Comprehensive MCO + MLTSS)","Empower Healthcare Solutions",Statewide,"17,950","1,815","19,765",2021,Beacon
Arkansas,,"PCCM (Primary Care Case Management (PCCM))","Primary Care Case Management",Statewide,"453,131",0,"453,131",2021,"AR State"
Arkansas,,"Delta Dental Plan Arkansas (Dental only (PAHP))","Delta Dental Smiles",Statewide,"340,976","32,218","373,194",2021,"Delta Dental of Arkansas"
Arkansas,,"MCNA Insurance Company (Dental only (PAHP))","MCNA Dental",Statewide,"319,672","30,146","349,818",2021,"MCNA Dental"
Arkansas,,"Central Arkansas Development (Non-Emergency Medical Transportation)","Central Arkansas Development",Statewide,"155,349","11,391","166,740",2021,"Central Arkansas Development"
Arkansas,,"Area Agency on Aging of Southeast (Non-Emergency Medical Transportation)","Area Agency on Aging of Southeast",Statewide,"86,070","7,731","93,801",2021,"Area Agency on Aging of Southeast"
Arkansas,,"Southeastrans, Inc (Non-Emergency Medical Transportation)","Southeastrans, Inc",Statewide,"668,446","44,906","713,352",2021,"Southeastrans, Inc"
Arkansas,,"Arkansas Health & Wellness Solutions (Other Prepaid Health Plan (PHP) (limited benefits))","Arkansas Health & Wellness Solutions",Statewide,"57,970",0,"57,970",2021,"Celtic Insurance Company"
Arkansas,,"Arkansas Blue Cross Blue Shield (Other Prepaid Health Plan (PHP) (limited benefits))","Arkansas Blue Cross Blue Shield",Statewide,"123,997",0,"123,997",2021,"Blue Cross Blue Shield"
Arkansas,,"QCA Health Plan, Inc (Other Prepaid Health Plan (PHP) (limited benefits))","QCA Health Plan, Inc",Statewide,"41,101",0,"41,101",2021,Qualchoice
Arkansas,,"Qualchoice Life & Health Insurance (Other Prepaid Health Plan (PHP) (limited benefits))","Qualchoice Life & Health Insurance",Statewide,"41,267",0,"41,267",2021,Qualchoice
