state,notes,program_name,plan_name,geographic_region,medicaidonly_enrollment,dual_enrollment,total_enrollment,year,parent_organization
Utah,,"UNI HOME (Comprehensive MCO)",HOME,Statewide,702,450,1152,2017,"University of Utah Health Plans"
"New York",,"Managed Long Term Care (MLTSS only (PIHP and/or PAHP))","VNA HomeCare Options","48 counties",231,4716,4947,2017,"VNA HomeCare Options"
Kansas,,"KanCare (Comprehensive MCO + MLTSS)","United Healthcare Community Plan of Kansas",Statewide,125351,12371,137722,2017,"United Healthcare Services, Inc."
California,,"Regional Model (Comprehensive MCO)","California Health & Wellness/Tuolumne","Tuolumne County",5645,178,5823,2017,"Centene Corporation"
Texas,,"STAR (Comprehensive MCO)",Sendero,"Travis SDA",13241,0,13241,2017,Sendero
Virginia,,"Medallion 3.0 (Comprehensive MCO)",Anthem,Statewide,268920,0,268920,2017,"Anthem BCBS"
Texas,,"STAR (Comprehensive MCO)","Seton Health Plan","Travis SDA",18016,0,18016,2017,"Seton Health Plan"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","University Family Care","Cochise, Gila, Graham, Greenlee, LaPaz, Pima, Pinal, S Cruz, Yavapai & Yuma Counties",125463,10151,135614,2017,"Banner Health"
Missouri,,"MO Healthnet Managed Care/1915b (Comprehensive MCO)","United Healthcare Southwest","Barry, Barton, Christian, Dade, Dallas, Douglas, Greene, Hickory, Howell, Jasper, Lawrence, McDonald, Newton, Oregon, Ozark, Shannon, Stone, Taney, Texas, Webster, and Wright",35728,0,35728,2017,"United Healthcare"
Utah,,"Prepaid Mental Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Wasatch Mental Health","Utah and Wasatch counties",44599,3046,47645,2017,"Wasatch Mental Health"
Colorado,"Colorado reported plan level enrollment as 30 for plans that had less than 30 beneficiaires. As a result, plan level enrollment for the Total Longterm Care - Pueblo DBA Innovage Greater Colorado PACE plan and the Volunteers of America (VOANS) PACE DBA Senior Community Care plan may be slightly inflated.","Accountable Care Collaborative (Primary Care Case Management Entity (PCCM Entity))","RCCO 4: Integrated Community Health Partnership","Alamosa, Baca, Bent, Chaffee, Conejos, Costilla, Crowley, Custer, Fremont, Huerfano, Kiowa, Lake, Las  Animas, Mineral, Otero, Prowers, Pueblo, Rio Grande and Saguache Counties",111055,10543,121598,2017,"Integrated Community Health Partnership"
"Rhode Island",,"RIte Smiles (Dental only (PAHP))","UnitedHealthcare Dental",Statewide,104666,0,104666,2017,UnitedHealthcare
Oregon7,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.","Oregon Health Plan (OHP) (Comprehensive MCO)","HealthShare of Oregon","Clackamas, Multnomah, and Washington Counties",190202,16249,206451,2017,"HealthShare of Oregon"
"New Hampshire",,"New Hampshire Medicaid Care Management (Comprehensive MCO)","New Hampshire Healthy Families",Statewide,50528,8258,58786,2017,Centene
Wisconsin,,"SSI Managed Care (Comprehensive MCO)","Group Health Cooperative Of Eau Claire","Counties: Ashland, Buffalo, Chippewa, Columbia, Crawford, Douglas, Eau Claire, Forest, Grant, Green, Iowa, Iron, Jackson, Juneau, La Crosse, Lafayette, Langlade, Lincoln, Marathon, Oneida, Pepin, Polk, Portage, Price, Richland, Shawano, Trempealeau, Vernon, Vilas, Washburn, Wood",1309,563,1872,2017,"Group Health Cooperative Of Eau Claire"
"New York",,"Managed Long Term Care (MLTSS only (PIHP and/or PAHP))","ArchCare Community Life","New York City & Putnam, Westchester counties",259,2419,2678,2017,"ArchCare Community Life"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/Alameda","Alameda County",38,176,214,2017,"On Lok Lifeways"
"North Dakota",,"PCCM (Primary Care Case Management (PCCM))","Multiple Primary Care Providers (PCCM)",Statewide,49399,0,49399,2017,"Multiple Primary Care Providers (PCCM)"
"New York",,"Health and Recovery Plans (Comprehensive MCO)","Capital District Physician's Health Plan","Albany, Broome, Columbia, Fulton, Greene, Montgomery, Rensselaer, Saratoga, Schenectady, Schoharie, Tioga, Washington counties",2399,0,2399,2017,"Capital District Physician's Health Plan"
Maryland,,"HealthChoice (Comprehensive MCO)","Maryland Physcians Care","Statewide except for Somerset, Wicomico and Worcester counties",217073,0,217073,2017,"Maryland Care Inc"
Louisiana,,"Healthy Louisiana (Comprehensive MCO)","Aetna Better Health",Statewide,93412,93,93505,2017,Aetna
"North Carolina",,"1915(b)/(c) Medicaid Waiver for MH/DD/SA Services (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Sandhills Center for MH/DD/SA","Counties: Anson, Guilford, Harnett, Hoke, Lee, Montgomery, Moore, Randolph, Richmond",170034,20307,190341,2017,"Sandhills Center for MH/DD/SA"
Texas,,"STAR Kids (Comprehensive MCO + MLTSS)","Cook Children's Health Plan","Hidalgo SDA, Nueces SDA",8952,41,8993,2017,"Cook Children's Health Plan"
Pennsylvania,,"PA Living Independence for the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE))","Mercy LIFE H-3919","Philadelphia (partial), Delaware counties",86,698,784,2017,"Trinity Health Corp."
Hawaii5,"Beneficiaries can simultaneously enroll in Ohana Community Care Service (BHS) and another medical or dental plan under the Quest program. The de-duplicated total enrollment comprehensive MCOs is 360,905.","Hawaii QUEST Integration (Comprehensive MCO + MLTSS)","Ohana ABD",Statewide,7344,12157,19501,2017,"Wellcare Inc."
Wisconsin,,"BadgerCare Plus (Comprehensive MCO)","Health Tradition Health Plan","Counties: Buffalo, Crawford, Grant, La Crosse, Monroe, Trempealeau, Vernon",8532,11,8543,2017,"Health Tradition Health Plan"
Michigan,,"Managed Care Plan Division (Comprehensive MCO)","Priority Health Choice, Inc.","Allegan, Barry, Berrien, Branch, Calhoun, Cass, Ionia, Kalamazoo, Kent, Lake, Mason, Mecosta, Montcalm, Muskegon, Newaygo, Oceana, Osceola, Ottawa, St. Joseph, VanBuren",127235,4286,131521,2017,"Priority Health Choice, Inc."
California,,"Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Nevada","Nevada County",12083,463,12546,2017,"Anthem Insurance Companies, Inc."
Colorado,"Colorado reported plan level enrollment as 30 for plans that had less than 30 beneficiaires. As a result, plan level enrollment for the Total Longterm Care - Pueblo DBA Innovage Greater Colorado PACE plan and the Volunteers of America (VOANS) PACE DBA Senior Community Care plan may be slightly inflated.","Accountable Care Collaborative: Access KP (Comprehensive MCO)","Colorado Access Kaiser Permanente","Adams, Arapahoe, Douglas Counties",0,0,0,2017,"Colorado Access Kaiser Permanente"
