STATE,num_bene_id_any_EL_DAYS,num_bene_id_CMCP,num_bene_id_DMCP,num_bene_id_BMCP,num_bene_id_PDMC,num_bene_id_LTCM,num_bene_id_AICE,num_bene_id_PCCM
AL,714683,13384,0,0,0,0,0,477059
AK,95510,0,0,0,0,0,0,0
AZ,1089901,1137464,0,149883,0,47868,0,0
AR,607157,0,0,0,0,0,0,491845
CA,5624030,4058766,6403246,0,0,0,2428,0
CO,405415,61151,0,525352,0,0,1444,73366
CT,446553,375134,0,0,0,0,0,0
DE,143754,133760,0,0,0,0,0,16063
FL,2069714,1086958,244896,772102,0,0,167,236287
GA,1207301,1123034,0,2230,0,0,0,138176
HI,187162,180857,0,6275,0,0,0,0
ID,180340,0,5466,0,0,0,0,192335
IL,2037442,167008,0,0,0,0,278,1381445
IN,849870,752126,0,0,0,0,0,85182
IA,368331,7538,0,370050,0,0,0,202176
KS,264494,193514,0,0,0,0,258,32104
KY,720124,174531,0,0,0,0,0,426680
LA,973391,0,0,0,0,0,21,773501
ME,303216,0,0,0,0,0,0,205740
MD,694952,649983,0,0,0,0,170,0
MA,1052177,496441,0,397178,0,0,11889,376406
MI,1587444,1299570,266891,1740992,0,0,353,0
MN,595244,526718,0,0,0,0,0,0
MS,593348,0,0,0,0,0,0,0
MO,869795,476228,0,0,0,0,215,0
MT,79177,7,0,0,0,0,0,57816
NE,206075,43475,0,226537,0,0,0,55498
NV,165371,122446,0,0,0,0,0,0
NH,113013,0,0,0,0,0,0,0
NJ,875137,742476,0,0,0,0,0,0
NM,406239,355412,0,341113,0,0,0,0
NY,4027870,3328879,0,6871,0,22029,3469,23120
NC,1335357,0,0,90423,0,0,0,1159678
ND,52186,0,0,0,0,0,0,46093
OH,1754988,1606263,0,0,0,0,0,0
OK,619209,0,0,0,0,0,0,15792
OR,376789,348827,425696,425053,0,0,802,11559
PA,1700359,1286965,0,1852835,0,421,1049,368914
RI,182964,148687,0,0,0,0,100,0
SC,725937,139964,0,0,0,0,449,95089
SD,103396,0,116583,0,0,0,0,96882
TN,1264398,418364,0,1396336,0,0,397,0
TX,3164630,2020173,0,462372,0,0,0,1116110
UT,193742,0,0,242021,0,405,0,68143
VT,124233,0,0,0,0,0,21,111085
VA,732829,554623,0,0,0,0,0,84054
WA,921203,684058,0,1173541,0,0,322,88802
WV,303725,193702,0,0,0,0,0,30742
WI,837997,515014,0,1203,0,13745,1280,0
WY,58700,0,0,0,0,0,0,0
