STATE,num_bene_id_any_EL_DAYS,num_bene_id_CMCP,num_bene_id_DMCP,num_bene_id_BMCP,num_bene_id_PDMC,num_bene_id_LTCM,num_bene_id_AICE,num_bene_id_PCCM
AL,768100,9657,0,0,0,0,0,426730
AK,99929,0,0,0,0,0,0,0
AZ,1061463,850769,0,131386,0,39234,0,0
AR,620182,0,0,0,0,0,0,416726
CA,5626511,3530478,5391100,0,0,0,2154,0
CO,422077,131968,0,400542,0,0,1149,68773
CT,434627,313675,0,0,0,0,0,0
DE,142711,103109,0,0,0,0,0,12566
FL,2181083,890741,218712,492944,0,0,125,595577
GA,1302135,843906,0,0,0,0,0,845221
HI,194440,154510,0,5475,0,0,0,0
ID,179403,0,0,0,0,0,0,160449
IL,1943454,150743,0,0,0,0,268,0
IN,832394,602091,0,0,0,0,0,81814
IA,362729,6362,0,290533,0,0,0,162296
KS,273559,93371,0,0,0,0,201,97915
KY,699374,137365,0,0,0,0,0,352420
LA,1010412,0,0,0,0,0,0,770388
ME,276017,0,0,0,0,0,0,169272
MD,692639,546586,0,0,0,0,156,0
MA,1043278,414824,0,350933,0,0,8307,332114
MI,1542266,1108660,221542,1372662,0,0,253,0
MN,584183,434118,0,0,0,0,0,0
MS,622921,0,0,0,0,0,0,0
MO,875450,407136,0,0,0,0,187,0
MT,83450,1,0,0,0,0,0,62104
NE,205052,36400,0,185699,0,0,0,46137
NV,170395,94670,0,0,0,0,0,0
NH,111379,0,0,0,0,0,0,0
NJ,858697,619209,0,0,0,0,0,0
NM,399844,281530,0,276680,0,0,0,0
NY,4119148,2767599,0,7324,0,16741,2997,21178
NC,1329227,9455,0,72821,0,0,0,955157
ND,53030,980,0,0,0,0,0,32997
OH,1771046,1045283,0,0,0,0,0,0
OK,584541,0,0,0,0,0,0,10504
OR,396744,275911,342552,343036,0,0,700,12041
PA,1717192,1110362,0,1236463,0,291,886,307746
RI,186890,127382,0,0,0,0,0,0
SC,787470,114894,0,240,0,0,416,69646
SD,102874,0,102874,0,0,0,0,77716
TN,1273412,0,0,1230247,0,0,336,0
TX,3034658,1361322,0,330611,0,0,0,1114304
UT,204868,0,0,182756,0,491,0,0
VT,126271,0,0,0,0,0,0,91458
VA,734463,458116,0,0,0,0,0,81323
WA,953755,560704,0,951943,0,0,264,74464
WV,307233,157889,0,0,0,0,0,27304
WI,848653,427583,0,1074,0,10661,1078,0
WY,61910,0,0,0,0,0,0,0
