STATE,num_bene_id_any_EL_DAYS,num_bene_id_CMCP,num_bene_id_DMCP,num_bene_id_BMCP,num_bene_id_PDMC,num_bene_id_LTCM,num_bene_id_AICE,num_bene_id_PCCM
AL,808759,7519,0,0,40484,0,0,537236
AK,91078,0,0,0,0,0,0,0
AZ,1098716,1157101,0,159811,0,49325,0,0
AR,628297,0,0,0,0,0,0,474112
CA,5662104,4081168,6418365,0,0,0,2149,0
CO,409562,95741,0,515361,0,0,1213,50725
CT,440970,383333,0,0,0,0,0,0
DE,139432,127533,0,0,0,0,0,17252
FL,2227939,1124086,275145,259951,0,0,134,867865
GA,1374834,0,0,0,0,0,0,1288213
HI,194032,182463,0,6331,0,0,0,0
ID,176894,0,0,0,0,0,0,188435
IL,2011555,216561,0,0,0,0,275,0
IN,813081,687222,0,0,0,0,0,309356
IA,324653,32069,0,361038,0,0,0,202131
KS,267911,111413,0,0,0,0,193,133387
KY,670535,167455,0,0,0,0,0,437583
LA,1005480,0,0,0,0,0,0,876484
ME,271859,0,0,0,0,0,0,205900
MD,706924,613861,0,0,0,0,176,0
MA,1012480,459801,0,425294,0,0,1750,406950
MI,1497733,1263484,212001,1641061,0,0,247,0
MN,581572,530044,0,0,0,0,0,0
MS,666941,0,0,0,0,0,0,0
MO,993056,561123,0,0,0,0,219,0
MT,85538,0,0,0,0,0,0,81832
NE,202324,41509,0,225066,0,0,0,53837
NV,174826,143205,0,0,0,0,0,0
NH,108534,0,0,0,0,0,0,0
NJ,812458,657250,0,0,0,0,0,0
NM,410528,350899,0,303946,0,0,0,0
NY,4181237,3240042,0,7600,0,13798,2834,25985
NC,1243244,17452,0,78949,0,0,0,1093219
ND,53901,1442,0,0,0,0,0,47961
OH,1719241,801284,0,0,0,0,0,0
OK,560447,0,0,0,0,0,0,13004
OR,402674,367564,451919,447955,0,0,754,15364
PA,1695963,1437285,0,1335308,0,444,862,343067
RI,185976,154131,0,0,0,0,0,0
SC,858503,90386,0,314,0,0,432,47876
SD,100805,0,129040,0,0,0,0,95957
TN,1390910,0,0,0,0,0,367,0
TX,2996597,1394410,0,443700,0,0,0,1343924
UT,211425,0,0,201292,0,424,0,0
VT,125352,0,0,0,0,0,0,113035
VA,716292,505658,0,0,0,0,0,123306
WA,955763,659440,0,1196736,0,0,290,70934
WV,305326,181049,0,0,0,0,0,35486
WI,824087,486727,0,1198,0,11158,1177,0
WY,61676,0,0,0,0,0,0,0
