STATE,num_bene_id_any_EL_DAYS,num_bene_id_CMCP,num_bene_id_DMCP,num_bene_id_BMCP,num_bene_id_PDMC,num_bene_id_LTCM,num_bene_id_AICE,num_bene_id_PCCM
AL,808759,7171,0,0,30334,0,0,468851
AK,91078,0,0,0,0,0,0,0
AZ,1098716,869797,0,134122,0,43906,0,0
AR,628297,0,0,0,0,0,0,417191
CA,5662104,3563219,5408697,0,0,0,2008,0
CO,409562,80354,0,389510,0,0,1098,44435
CT,440970,324251,0,0,0,0,0,0
DE,139432,102209,0,0,0,0,0,12460
FL,2227939,909774,229035,226558,0,0,122,731817
GA,1374834,0,0,0,0,0,0,1032621
HI,194032,154176,0,5763,0,0,0,0
ID,176894,0,0,0,0,0,0,160087
IL,2011555,201963,0,0,0,0,249,0
IN,813081,580370,0,0,0,0,0,270023
IA,324653,26100,0,279226,0,0,0,159210
KS,267911,86384,0,0,0,0,178,105776
KY,670535,129323,0,0,0,0,0,352272
LA,1005480,0,0,0,0,0,0,802978
ME,271859,0,0,0,0,0,0,176597
MD,706924,521256,0,0,0,0,157,0
MA,1012480,394708,0,369360,0,0,1531,353345
MI,1497733,1084438,175739,1345215,0,0,208,0
MN,581572,436351,0,0,0,0,0,0
MS,666941,0,0,0,0,0,0,0
MO,993056,465974,0,0,0,0,186,0
MT,85538,0,0,0,0,0,0,64674
NE,202324,35605,0,183243,0,0,0,45434
NV,174826,99417,0,0,0,0,0,0
NH,108534,0,0,0,0,0,0,0
NJ,812458,571282,0,0,0,0,0,0
NM,410528,286265,0,277911,0,0,0,0
NY,4181237,2759249,0,7406,0,13215,2602,23439
NC,1243244,14095,0,67492,0,0,0,898354
ND,53901,1042,0,0,0,0,0,33745
OH,1719241,696194,0,0,0,0,0,0
OK,560447,0,0,0,0,0,0,10642
OR,402674,280092,347544,346382,0,0,647,13184
PA,1695963,1248398,0,1139506,0,400,791,290900
RI,185976,128710,0,0,0,0,0,0
SC,858503,82660,0,311,0,0,395,46526
SD,100805,0,100805,0,0,0,0,76672
TN,1390910,0,0,0,0,0,320,0
TX,2996597,1058636,0,324696,0,0,0,1125444
UT,211425,0,0,163103,0,409,0,0
VT,125352,0,0,0,0,0,0,90955
VA,716292,435064,0,0,0,0,0,109561
WA,955763,562444,0,954082,0,0,268,66623
WV,305326,150457,0,0,0,0,0,30713
WI,824087,408071,0,1093,0,10175,1070,0
WY,61676,0,0,0,0,0,0,0
