STATE,num_bene_id_any_EL_DAYS,num_bene_id_CMCP,num_bene_id_DMCP,num_bene_id_BMCP,num_bene_id_PDMC,num_bene_id_LTCM,num_bene_id_AICE,num_bene_id_PCCM
AL,749694,27255,0,0,0,0,0,528890
AK,96513,0,0,0,0,0,0,0
AZ,1175848,1247195,0,1254614,0,52323,0,0
AR,605170,0,0,0,0,0,8,500236
CA,5791629,4185527,6585289,0,0,0,2551,0
CO,429197,61523,0,538575,0,0,1593,68851
CT,472772,162011,0,0,0,0,0,0
DE,154283,144026,0,0,0,0,0,13347
FL,2290919,1189564,254371,721913,0,0,244,534137
GA,1289396,1157508,0,2232,0,0,0,140787
HI,203634,189651,0,6097,0,0,6,0
ID,177675,0,162910,0,0,0,0,188208
IL,2115914,184969,0,0,0,0,319,1717302
IN,895772,804258,0,0,0,0,0,68477
IA,388613,7384,0,379296,0,0,18,208855
KS,267940,195358,0,324822,0,0,276,30573
KY,715394,177923,0,0,0,0,0,423393
LA,1029398,0,0,0,0,0,91,787319
ME,301508,0,0,0,0,0,0,203400
MD,717454,688435,0,0,0,0,169,0
MA,1287510,528910,0,399698,0,0,14483,379289
MI,1642869,1362446,366945,1833356,0,0,388,0
MN,618517,551136,0,0,0,0,0,0
MS,606739,0,0,0,0,0,0,0
MO,850112,505905,0,0,0,0,235,0
MT,78915,3,0,0,0,0,2,66307
NE,207904,45317,0,227811,0,0,0,54763
NV,179535,132977,0,0,0,0,0,0
NH,116801,0,0,0,0,0,0,0
NJ,904995,793708,0,0,0,0,0,0
NM,462890,383982,0,348170,0,20727,384,0
NY,4164258,3391425,0,3,0,25745,3607,21864
NC,1385231,0,0,92989,0,0,14,1220908
ND,53289,0,0,0,0,0,8,47556
OH,1811794,1655855,0,0,0,0,0,0
OK,616583,0,0,0,0,0,11,16561
OR,398460,376454,440848,447059,0,0,850,8958
PA,1806398,1328461,0,1947098,0,608,1718,383021
RI,168842,144628,38778,0,0,0,165,0
SC,740329,324338,0,0,0,0,448,122442
SD,104653,0,0,0,0,0,0,98698
TN,1266337,804416,0,1431213,0,0,389,0
TX,3224740,2133999,0,471202,0,0,926,1092266
UT,203576,0,0,253057,0,9,0,67018
VT,136134,0,0,0,0,0,56,115236
VA,758762,570039,0,0,0,0,301,67942
WA,950551,701030,0,1189511,0,0,380,95069
WV,312936,200021,0,0,0,0,0,26581
WI,873824,613284,0,1399,0,20977,1289,0
WY,58273,0,0,0,0,0,0,0
