STATE,num_bene_id_any_EL_DAYS,num_bene_id_CMCP,num_bene_id_DMCP,num_bene_id_BMCP,num_bene_id_PDMC,num_bene_id_LTCM,num_bene_id_AICE,num_bene_id_PCCM
AL,930593,32470,0,0,0,0,97,667009
AK,120791,0,0,0,0,0,0,0
AZ,1217117,1390028,0,1519828,0,54572,0,0
AR,683098,0,0,0,0,0,146,465668
CA,6874770,5685518,7943969,0,0,0,12643,0
CO,584779,67827,0,649339,0,0,1858,222414
CT,699230,0,0,0,0,0,0,0
DE,207206,215684,0,0,0,0,0,0
FL,3237207,1645831,1523934,695029,0,0,926,1022781
GA,1574742,1361832,0,0,0,0,0,0
HI,274200,318276,0,0,0,0,0,0
ID,234527,0,283164,0,0,0,0,260995
IL,2765320,257945,0,0,0,0,0,2060528
IN,1070121,931108,0,0,0,0,0,45722
IA,518676,15032,0,506273,0,0,210,372183
KS,345942,253531,0,386959,0,0,350,28528
KY,807082,840898,0,0,0,0,0,0
LA,1173456,523046,0,893250,0,0,350,839755
ME,330662,0,0,0,0,0,0,364315
MD,1033373,1008586,0,0,0,0,184,0
MA,1315871,620376,0,562711,0,0,31160,481713
MI,1880096,1611032,533653,2106232,0,0,876,0
MN,871331,861375,0,0,0,0,0,0
MS,650231,144146,0,0,0,0,0,0
MO,967565,550121,0,0,0,0,228,0
MT,113671,0,0,848,0,0,0,106395
NE,242645,215192,0,265187,0,0,0,0
NV,299060,236648,0,0,0,0,0,0
NH,146928,0,0,0,0,0,0,0
NJ,1167017,1178180,0,0,0,0,692,0
NM,547158,429128,0,434076,0,44992,454,0
NY,5053505,4518310,0,0,0,72077,5474,14776
NC,1662265,0,0,602504,0,0,573,1645117
ND,65945,0,0,0,0,0,85,48230
OH,2354394,2019540,0,0,0,0,950,0
OK,789546,0,0,0,0,0,133,730297
OR,615932,599175,658666,596830,0,0,1143,3523
PA,2130219,1662247,0,2202719,0,193,4322,408392
RI,180866,146266,60272,0,0,0,241,0
SC,928746,582426,0,0,0,0,490,225157
SD,117961,0,0,0,0,0,0,110500
TN,1329021,1389715,0,0,0,0,367,0
TX,4076648,4055870,3272139,614339,0,0,1155,859857
UT,278227,89860,0,341609,0,0,0,108311
VT,165230,0,0,0,0,0,167,135712
VA,960747,793105,0,0,0,0,987,47860
WA,1145849,965807,0,1269448,0,0,526,11755
WV,336359,233930,0,0,0,0,0,6025
WI,1100906,787981,0,1475,0,39861,5668,0
WY,68624,0,0,0,0,0,0,0
