STATE,num_bene_id_any_EL_DAYS,num_bene_id_CMCP,num_bene_id_DMCP,num_bene_id_BMCP,num_bene_id_PDMC,num_bene_id_LTCM,num_bene_id_AICE,num_bene_id_PCCM
AL,919112,31038,0,0,0,0,0,663945
AK,119704,0,0,0,0,0,0,0
AZ,1007540,1359965,0,1490536,0,54079,0,0
AR,675032,0,0,0,0,0,97,459524
CA,6469803,5469214,7726402,0,0,0,10761,0
CO,603329,67234,0,706698,0,0,2389,100251
CT,660239,464758,0,0,0,0,0,0
DE,199135,194003,0,0,0,0,0,0
FL,3020637,1540947,316553,844173,0,0,736,1014066
GA,1506876,1320563,0,0,0,0,0,128120
HI,265292,298669,0,0,0,0,0,0
ID,224462,0,267439,0,0,0,0,237179
IL,2679659,238531,0,0,0,0,0,2046827
IN,1036725,926127,0,0,0,0,0,47651
IA,494554,0,0,493603,0,0,139,328007
KS,335385,242100,0,379105,0,0,342,29950
KY,805036,740160,0,0,0,0,0,422502
LA,1170873,0,0,0,0,0,314,867041
ME,342429,0,0,0,0,0,0,373888
MD,979960,960933,0,0,0,0,179,0
MA,1273751,574184,0,493081,0,0,23987,415552
MI,1920030,1653578,397894,2159864,0,0,853,0
MN,838647,794627,0,0,0,0,0,0
MS,647997,73111,0,0,0,0,0,0
MO,978674,554472,0,0,0,0,226,0
MT,110539,0,0,656,0,0,0,106717
NE,231966,136569,0,258642,0,0,0,0
NV,285301,225983,0,0,0,0,0,0
NH,137683,0,0,0,0,0,0,0
NJ,1134408,1114710,0,0,0,0,502,0
NM,539113,432666,0,433879,0,44419,457,0
NY,4864912,4194078,0,0,0,33432,4232,19563
NC,1607233,0,0,142985,0,0,293,1545528
ND,66296,0,0,0,0,0,79,48086
OH,2135538,1969493,0,0,0,0,788,0
OK,749044,0,0,0,0,0,103,686866
OR,590475,570345,642598,627749,0,0,1077,3571
PA,2136540,1441960,0,2201135,0,519,3604,424546
RI,192064,145557,57588,0,0,0,239,0
SC,875253,576623,0,0,0,0,496,201716
SD,117007,0,0,0,0,0,0,109801
TN,1331849,1388763,0,0,0,0,359,0
TX,4017505,2830670,0,602957,0,0,1134,1283118
UT,270386,84083,0,332915,0,0,0,105014
VT,162906,0,0,0,0,0,142,135391
VA,911444,693209,0,0,0,0,870,70472
WA,1134359,875131,0,1257220,0,0,503,16052
WV,337875,235893,0,0,0,0,0,10303
WI,1104350,816966,0,1520,0,37470,5628,0
WY,68628,0,0,0,0,0,0,0
