STATE,num_bene_id_any_EL_DAYS,num_bene_id_CMCP,num_bene_id_DMCP,num_bene_id_BMCP,num_bene_id_PDMC,num_bene_id_LTCM,num_bene_id_AICE,num_bene_id_PCCM
AL,714683,12823,0,0,0,0,0,397862
AK,95510,0,0,0,0,0,0,0
AZ,1089901,853830,0,127207,0,42620,0,0
AR,607157,0,0,0,0,0,0,417436
CA,5624030,3531998,5372776,0,0,0,2253,0
CO,405415,48356,0,384656,0,0,1287,62890
CT,446553,324367,0,0,0,0,0,0
DE,143754,104062,0,0,0,0,0,12831
FL,2069714,848949,200753,631890,0,0,153,190506
GA,1207301,803999,0,2075,0,0,0,128683
HI,187162,147358,0,5582,0,0,0,0
ID,180340,0,1511,0,0,0,0,162598
IL,2037442,157022,0,0,0,0,268,1286687
IN,849870,621075,0,0,0,0,0,80983
IA,368331,5958,0,291891,0,0,0,161205
KS,264494,146544,0,0,0,0,229,27556
KY,720124,143093,0,0,0,0,0,357950
LA,973391,0,0,0,0,0,11,701949
ME,303216,0,0,0,0,0,0,177958
MD,694952,552215,0,0,0,0,145,0
MA,1052177,415677,0,333440,0,0,11284,314165
MI,1587444,1131597,224886,1461281,0,0,315,0
MN,595244,431128,0,0,0,0,0,0
MS,593348,0,0,0,0,0,0,0
MO,869795,402700,0,0,0,0,199,0
MT,79177,4,0,0,0,0,0,45507
NE,206075,37320,0,186184,0,0,0,46780
NV,165371,90106,0,0,0,0,0,0
NH,113013,0,0,0,0,0,0,0
NJ,875137,647262,0,0,0,0,0,0
NM,406239,288305,0,280012,0,0,0,0
NY,4027870,2799405,0,6699,0,21056,3235,20955
NC,1335357,0,0,73897,0,0,0,963757
ND,52186,0,0,0,0,0,0,32542
OH,1754988,1350839,0,0,0,0,0,0
OK,619209,0,0,0,0,0,0,13553
OR,376789,263412,322328,321897,0,0,707,9778
PA,1700359,1078028,0,1558823,0,371,957,297362
RI,182964,123657,0,0,0,0,97,0
SC,725937,120827,0,0,0,0,410,85404
SD,103396,0,100769,0,0,0,0,77724
TN,1264398,367511,0,1205525,0,0,349,0
TX,3164630,1567380,0,346409,0,0,0,867592
UT,193742,0,0,169600,0,365,0,53557
VT,124233,0,0,0,0,0,19,90344
VA,732829,467305,0,0,0,0,0,73897
WA,921203,565079,0,920575,0,0,296,79648
WV,303725,153888,0,0,0,0,0,24698
WI,837997,432283,0,1113,0,12595,1172,0
WY,58700,0,0,0,0,0,0,0
